"AnalDate","n"
"1/1/2019",1
"1/1/2022",7
"1/10/2017",26
"1/10/2018",50
"1/10/2019",80
"1/10/2020",73
"1/10/2022",17
"1/10/2023",30
"1/11/2016",7
"1/11/2017",21
"1/11/2018",21
"1/11/2019",37
"1/11/2020",2
"1/11/2021",36
"1/11/2022",46
"1/11/2023",10
"1/12/2015",7
"1/12/2016",22
"1/12/2017",3
"1/12/2018",6
"1/12/2021",21
"1/12/2022",25
"1/12/2023",25
"1/13/2015",13
"1/13/2016",45
"1/13/2017",4
"1/13/2020",32
"1/13/2021",34
"1/13/2022",36
"1/13/2023",10
"1/14/2015",29
"1/14/2016",40
"1/14/2019",19
"1/14/2020",35
"1/14/2021",38
"1/14/2022",2
"1/15/2015",23
"1/15/2016",12
"1/15/2018",1
"1/15/2019",116
"1/15/2020",23
"1/15/2021",42
"1/15/2022",13
"1/16/2015",16
"1/16/2018",6
"1/16/2019",51
"1/16/2020",71
"1/16/2023",2
"1/17/2015",3
"1/17/2018",24
"1/17/2019",73
"1/17/2020",30
"1/17/2022",9
"1/17/2023",16
"1/18/2016",9
"1/18/2017",13
"1/18/2018",9
"1/18/2019",57
"1/18/2021",59
"1/18/2022",28
"1/18/2023",28
"1/19/2015",15
"1/19/2016",21
"1/19/2017",25
"1/19/2018",10
"1/19/2019",1
"1/19/2021",52
"1/19/2022",22
"1/19/2023",25
"1/2/2018",5
"1/2/2019",8
"1/2/2020",18
"1/2/2024",3
"1/20/2015",20
"1/20/2016",14
"1/20/2017",34
"1/20/2020",45
"1/20/2021",38
"1/20/2022",1
"1/20/2023",9
"1/21/2015",16
"1/21/2016",32
"1/21/2019",41
"1/21/2020",36
"1/21/2021",38
"1/21/2022",3
"1/22/2015",31
"1/22/2016",14
"1/22/2018",43
"1/22/2019",9
"1/22/2020",47
"1/22/2021",27
"1/22/2022",6
"1/23/2015",16
"1/23/2017",19
"1/23/2018",83
"1/23/2019",20
"1/23/2020",74
"1/23/2021",2
"1/23/2022",3
"1/23/2023",11
"1/24/2017",42
"1/24/2018",38
"1/24/2019",33
"1/24/2020",39
"1/24/2022",6
"1/24/2023",27
"1/25/2016",4
"1/25/2017",41
"1/25/2018",76
"1/25/2019",12
"1/25/2020",6
"1/25/2021",35
"1/25/2022",31
"1/25/2023",23
"1/26/2016",34
"1/26/2017",23
"1/26/2018",18
"1/26/2020",4
"1/26/2021",53
"1/26/2022",50
"1/26/2023",22
"1/27/2015",22
"1/27/2016",42
"1/27/2017",31
"1/27/2018",2
"1/27/2020",15
"1/27/2021",81
"1/27/2022",49
"1/27/2023",1
"1/28/2015",72
"1/28/2016",33
"1/28/2019",30
"1/28/2020",38
"1/28/2021",57
"1/28/2022",62
"1/29/2015",63
"1/29/2016",36
"1/29/2018",69
"1/29/2019",68
"1/29/2020",74
"1/29/2021",52
"1/29/2022",22
"1/3/2017",2
"1/3/2018",11
"1/3/2019",18
"1/3/2020",54
"1/3/2022",3
"1/3/2024",2
"1/30/2015",45
"1/30/2016",1
"1/30/2017",14
"1/30/2018",32
"1/30/2019",148
"1/30/2020",45
"1/30/2023",1
"1/31/2017",26
"1/31/2018",94
"1/31/2019",68
"1/31/2020",37
"1/31/2022",18
"1/31/2023",6
"1/4/2016",28
"1/4/2017",6
"1/4/2018",12
"1/4/2019",11
"1/4/2021",7
"1/4/2022",7
"1/4/2023",8
"1/5/2016",63
"1/5/2017",25
"1/5/2018",17
"1/5/2021",30
"1/5/2023",8
"1/6/2015",25
"1/6/2016",55
"1/6/2017",4
"1/6/2020",9
"1/6/2021",84
"1/6/2022",18
"1/6/2023",24
"1/7/2015",6
"1/7/2016",42
"1/7/2019",2
"1/7/2020",40
"1/7/2021",27
"1/7/2022",15
"1/7/2023",5
"1/8/2015",10
"1/8/2016",18
"1/8/2018",22
"1/8/2019",43
"1/8/2020",35
"1/8/2021",11
"1/9/2015",21
"1/9/2017",11
"1/9/2018",24
"1/9/2019",49
"1/9/2020",41
"1/9/2023",7
"10/1/2015",30
"10/1/2018",76
"10/1/2019",48
"10/1/2020",84
"10/1/2021",1
"10/1/2022",10
"10/1/2023",3
"10/10/2016",35
"10/10/2017",13
"10/10/2018",32
"10/10/2019",47
"10/10/2020",18
"10/10/2022",6
"10/10/2023",47
"10/11/2016",2
"10/11/2017",35
"10/11/2018",31
"10/11/2019",40
"10/11/2021",13
"10/11/2022",61
"10/11/2023",19
"10/12/2015",7
"10/12/2016",15
"10/12/2017",35
"10/12/2018",53
"10/12/2019",10
"10/12/2020",41
"10/12/2021",13
"10/12/2022",38
"10/12/2023",9
"10/13/2015",26
"10/13/2016",15
"10/13/2017",27
"10/13/2020",24
"10/13/2021",21
"10/13/2022",28
"10/14/2015",37
"10/14/2016",35
"10/14/2017",2
"10/14/2018",1
"10/14/2019",30
"10/14/2020",45
"10/14/2021",24
"10/14/2022",30
"10/14/2023",1
"10/15/2015",11
"10/15/2018",16
"10/15/2019",44
"10/15/2020",75
"10/15/2021",23
"10/16/2015",17
"10/16/2017",26
"10/16/2018",20
"10/16/2019",60
"10/16/2020",92
"10/16/2021",11
"10/16/2023",12
"10/17/2015",4
"10/17/2016",51
"10/17/2017",98
"10/17/2018",39
"10/17/2019",76
"10/17/2020",6
"10/17/2022",12
"10/17/2023",32
"10/18/2016",58
"10/18/2017",57
"10/18/2018",91
"10/18/2019",55
"10/18/2020",5
"10/18/2021",5
"10/18/2022",42
"10/18/2023",27
"10/19/2015",32
"10/19/2016",119
"10/19/2017",81
"10/19/2018",22
"10/19/2019",6
"10/19/2020",14
"10/19/2021",52
"10/19/2022",73
"10/19/2023",9
"10/2/2015",41
"10/2/2017",14
"10/2/2018",57
"10/2/2019",70
"10/2/2020",87
"10/2/2021",4
"10/2/2023",6
"10/20/2015",41
"10/20/2016",125
"10/20/2017",64
"10/20/2020",51
"10/20/2021",42
"10/20/2022",29
"10/20/2023",17
"10/21/2015",71
"10/21/2016",44
"10/21/2017",6
"10/21/2019",22
"10/21/2020",72
"10/21/2021",65
"10/21/2022",65
"10/22/2015",17
"10/22/2017",23
"10/22/2018",50
"10/22/2019",81
"10/22/2020",94
"10/22/2021",99
"10/23/2015",9
"10/23/2016",6
"10/23/2017",36
"10/23/2018",88
"10/23/2019",34
"10/23/2020",16
"10/23/2021",12
"10/23/2023",4
"10/24/2016",39
"10/24/2017",126
"10/24/2018",43
"10/24/2019",9
"10/24/2023",31
"10/25/2016",22
"10/25/2017",102
"10/25/2018",41
"10/25/2019",10
"10/25/2021",15
"10/25/2022",35
"10/26/2015",3
"10/26/2016",52
"10/26/2017",134
"10/26/2018",11
"10/26/2019",12
"10/26/2020",14
"10/26/2021",78
"10/26/2022",63
"10/26/2023",17
"10/27/2015",40
"10/27/2016",20
"10/27/2017",84
"10/27/2020",24
"10/27/2021",29
"10/27/2022",26
"10/27/2023",5
"10/28/2015",112
"10/28/2016",22
"10/28/2017",17
"10/28/2019",43
"10/28/2020",48
"10/28/2021",47
"10/28/2022",53
"10/28/2023",6
"10/29/2015",32
"10/29/2016",6
"10/29/2017",9
"10/29/2018",6
"10/29/2019",109
"10/29/2020",17
"10/29/2021",48
"10/29/2022",3
"10/29/2023",5
"10/3/2015",12
"10/3/2016",18
"10/3/2017",49
"10/3/2018",45
"10/3/2019",59
"10/3/2020",12
"10/3/2021",22
"10/3/2022",6
"10/3/2023",31
"10/30/2015",11
"10/30/2017",22
"10/30/2018",41
"10/30/2019",51
"10/30/2020",15
"10/30/2021",11
"10/30/2023",3
"10/31/2016",30
"10/31/2017",10
"10/31/2018",47
"10/31/2019",45
"10/31/2022",28
"10/31/2023",40
"10/4/2016",19
"10/4/2017",31
"10/4/2018",28
"10/4/2019",25
"10/4/2021",14
"10/4/2022",19
"10/4/2023",35
"10/5/2015",31
"10/5/2016",37
"10/5/2017",51
"10/5/2018",119
"10/5/2019",36
"10/5/2020",30
"10/5/2021",31
"10/5/2022",24
"10/5/2023",22
"10/6/2015",10
"10/6/2016",27
"10/6/2017",53
"10/6/2018",3
"10/6/2019",2
"10/6/2020",58
"10/6/2021",20
"10/6/2022",62
"10/6/2023",5
"10/7/2015",32
"10/7/2016",8
"10/7/2017",14
"10/7/2018",18
"10/7/2019",61
"10/7/2020",81
"10/7/2021",27
"10/7/2022",27
"10/7/2023",17
"10/8/2015",54
"10/8/2016",1
"10/8/2018",46
"10/8/2019",100
"10/8/2020",58
"10/8/2021",21
"10/8/2022",3
"10/9/2015",27
"10/9/2017",16
"10/9/2018",65
"10/9/2019",113
