"Analyte","n"
"Alkalinity as NaOH",46
"Alkalinity, Total as CaCO3",4535
"Aluminum",3368
"Antimony",152
"Arsenic",1319
"Bacteria, Iron Related",5
"Barium",152
"Beryllium",138
"Bicarbonate as HCO3",4434
"Boron",5
"Cadmium",784
"Calcium",3433
"Carbonate as CO3",4434
"Chloride",3364
"Chromium",185
"Cobalt",2
"Coliform, E-Coli",4955
"Coliform, Total",4955
"Conductivity @ 25 C",4593
"Copper",857
"Corrosivity (Langelier Index)",3174
"Fluoride",3377
"Hardness as CaCO3",3362
"Iron",667
"Lead",1023
"Lithium",1
"Magnesium",3431
"Manganese",3378
"Mercury",266
"Molybdenum",360
"Nickel",19
"Nitrogen, Nitrate+Nitrite as N",5397
"Phosphorus",4
"Phosphorus, Total as P",3
"Potassium",3366
"Radon 222",2
"Radon 222 MDC",2
"Radon 222 precision (±)",2
"Selenium",1119
"Silica",2
"Silver",7
"Sodium",3665
"Sodium Adsorption Ratio (SAR)",3189
"Solids, Total Dissolved - Calculated",3275
"Solids, Total Dissolved TDS @ 180 C",326
"Specific Gravity @ 60F",1
"Sulfate",3610
"Sulfide",1
"Sulfur",1
"Tannins and Lignins",1
"Thallium",169
"Tin",1
"Titanium",2
"Uranium",431
"Vanadium",1
"Zinc",3364
"pH",4767
"pH Measurement Temp",3004
