"BatchID","n"
"100254",1
"100644",1
"100651",1
"100814",1
"100893",2
"100953",1
"100982",1
"101019",2
"101034",1
"101225",1
"101303",1
"101463",1
"101487",1
"101542",1
"101678",1
"101715",1
"101770",2
"101818",2
"101831",1
"101956",1
"102030",1
"102732",1
"102886",1
"102935",1
"102997",1
"103139",1
"103626",2
"103724",1
"103768",1
"104240",1
"104947",2
"105069",1
"106027",1
"106964",1
"107324",2
"107564",2
"107780",1
"108033",1
"108130",2
"108204",1
"108779",1
"109212",1
"109362",1
"109789",1
"110250",3
"110391",1
"110485",1
"110807",2
"110867",2
"111081",1
"111117",1
"111143",2
"111204",1
"111582",1
"111656",1
"111862",1
"111923",1
"112105",1
"112240",1
"112556",1
"112663",2
"112861",1
"112924",3
"113395",1
"113601",1
"113689",1
"113707",1
"115877",1
"116035",1
"116442",2
"116537",1
"116856",1
"116919",1
"117373",1
"118179",2
"118369",1
"118849",1
"119433",1
"119575",1
"119625",1
"119864",1
"121122",1
"121164",1
"121218",1
"121424",1
"121447",1
"121533",1
"121546",3
"121571",4
"121621",2
"122067",2
"122620",1
"122997",2
"123205",1
"123293",1
"123347",1
"123496",1
"123788",2
"124014",1
"124266",1
"124295",1
"124471",1
"124564",1
"124629",1
"124654",1
"124694",1
"124997",1
"125028",1
"125189",1
"126755",1
"126757",1
"127184",1
"127213",2
"127890",2
"127965",2
"128255",1
"129241",1
"129529",2
"129832",1
"129853",1
"130485",1
"130578",1
"132712",1
"132944",1
"133102",1
"133404",1
"133950",1
"134132",1
"134242",1
"134302",1
"134949",1
"135335",1
"135438",1
"135491",1
"135640",2
"135705",2
"135724",1
"136136",1
"136271",1
"136437",1
"136504",1
"136554",2
"136623",1
"136652",1
"136817",1
"136952",1
"137135",2
"137188",1
"137405",1
"137463",1
"137520",1
"137960",1
"138099",3
"138155",1
"138691",1
"138719",3
"138881",1
"138883",1
"138984",1
"138990",1
"139211",1
"139370",1
"139426",1
"139643",1
"139661",1
"139987",1
"140162",6
"140262",1
"140375",1
"140750",1
"141031",2
"141406",1
"141930",1
"142397",1
"142583",2
"142692",2
"142946",1
"143637",1
"143641",1
"143662",1
"143867",2
"143874",1
"143907",2
"143916",1
"144475",1
"144517",1
"145098",1
"145195",1
"145214",1
"145591",1
"145634",1
"145661",1
"145863",2
"145924",1
"145974",1
"146123",1
"146168",1
"146269",1
"146835",1
"146968",1
"146997",2
"147004",2
"147047",1
"147099",1
"147155",2
"147538",1
"147595",1
"147743",1
"147944",1
"148076",2
"148127",2
"148144",2
"148170",1
"148267",1
"148460",2
"148469",1
"148553",1
"148577",3
"148862",1
"148939",1
"149009",1
"149080",1
"149217",1
"149223",1
"149269",1
"149441",1
"149458",1
"149674",1
"150085",3
"150105",1
"150210",1
"150211A-F-ISE-W",2
"150304A-F-ISE-W",1
"150311A-F-ISE-W",1
"150316A-F-ISE-W",2
"150330A-F-ISE-W",2
"150407A-F-ISE-W",2
"150427A-F-ISE-W",1
"150450",2
"150501A-COND-PROBE-W",1
"150501A-PH-W",1
"150518A-F-ISE-W",1
"150608A-F-ISE-W",4
"150741",1
"150802",1
"150803A-F-ISE-W",1
"150850",1
"150914A-F-ISE-W",1
"150959",1
"151030A-F-ISE-W",1
"151109A-F-ISE-W",1
"151113A-F-ISE-W",1
"151176",1
"151203",1
