"CollectionDate","n"
"",147
"1/10/2019",23
"1/10/2020",23
"1/10/2022",72
"1/10/2023",10
"1/11/2016",57
"1/11/2021",50
"1/11/2022",47
"1/11/2023",18
"1/12/2015",22
"1/12/2016",65
"1/12/2021",6
"1/12/2022",18
"1/13/2015",30
"1/13/2019",32
"1/13/2020",11
"1/13/2021",51
"1/14/2015",22
"1/14/2019",146
"1/14/2020",81
"1/14/2021",43
"1/15/2018",22
"1/15/2019",76
"1/15/2020",90
"1/16/2015",22
"1/16/2017",14
"1/16/2018",22
"1/16/2019",23
"1/16/2023",23
"1/17/2016",22
"1/17/2017",14
"1/17/2018",8
"1/17/2019",52
"1/17/2022",51
"1/17/2023",59
"1/18/2017",22
"1/18/2021",92
"1/18/2023",14
"1/19/2015",20
"1/19/2016",30
"1/19/2017",48
"1/19/2018",22
"1/19/2020",44
"1/19/2021",61
"1/19/2022",4
"1/2/2018",34
"1/2/2019",32
"1/2/2020",75
"1/20/2015",22
"1/20/2016",44
"1/20/2020",26
"1/20/2021",23
"1/21/2015",22
"1/21/2019",21
"1/21/2020",73
"1/21/2021",23
"1/22/2015",23
"1/22/2017",2
"1/22/2018",167
"1/22/2019",32
"1/22/2020",75
"1/22/2021",23
"1/23/2017",44
"1/23/2018",89
"1/23/2019",9
"1/23/2020",3
"1/23/2023",69
"1/24/2017",52
"1/24/2018",28
"1/24/2019",23
"1/24/2021",9
"1/24/2022",112
"1/25/2016",57
"1/25/2017",22
"1/25/2018",44
"1/25/2019",25
"1/25/2021",81
"1/25/2022",73
"1/26/2015",47
"1/26/2016",38
"1/26/2017",18
"1/26/2021",43
"1/26/2022",51
"1/27/2015",135
"1/27/2016",48
"1/27/2017",8
"1/27/2020",20
"1/27/2021",56
"1/28/2016",8
"1/28/2019",115
"1/28/2020",168
"1/28/2021",83
"1/29/2015",31
"1/29/2017",23
"1/29/2018",96
"1/29/2019",160
"1/29/2020",10
"1/3/2017",49
"1/3/2021",28
"1/3/2023",19
"1/30/2017",46
"1/30/2018",70
"1/30/2019",75
"1/30/2020",46
"1/30/2023",16
"1/31/2017",44
"1/31/2018",40
"1/31/2020",42
"1/31/2022",135
"1/31/2023",25
"1/4/2016",54
"1/4/2018",22
"1/4/2020",23
"1/4/2021",88
"1/4/2023",28
