"County","n"
"",3
"Beaverhead",244
"Big Horn",1547
"Blaine",554
"Bowman",11
"Broadwater",687
"Carbon",5873
"Carter",1226
"Cascade",1763
"Chouteau",515
"Custer",795
"Daniels",426
"Dawson",1299
"Deer Lodge",52
"Fallon",1574
"Fergus",1556
"Flathead",362
"Fremont",100
"Gallatin",17708
"Garfield",144
"Glacier",1053
"Golden Valley",682
"Granite",58
"Hill",89
"Honolulu",5
"Jefferson",2576
"Judith Basin",1037
"Lake",693
"Laramie",23
"Lewis And Clark",1222
"Lewis and Clark",4745
"Liberty",34
"Lincoln",119
"Madison",2378
"McCone",146
"Mccone",268
"Meagher",401
"Missoula",256
"Musselshell",2802
"Park",3979
"Petroleum",305
"Phillips",1590
"Pondera",708
"Powder River",1857
"Powell",118
"Prairie",1140
"Ravalli",7617
"Richland",1177
"Roosevelt",144
"Rosebud",1481
"Sanders",637
"Sheridan",67
"Silver Bow",238
"Slope",26
"Stevens",1
"Stillwater",4032
"Sweet Grass",729
"Teton",1164
"Toole",215
"Treasure",431
"UnknownMT",164
"UnknownNotMT",92
"Valley",915
"Washakie",29
"Wheatland",307
"Wibaux",233
"Yellowstone",12064
