"GWIC_ID","n"
0,4890
22,1
46,1
1367,1
2548,1
2802,1
2945,1
3374,1
4010,1
9518,1
9579,1
9678,2
9828,2
9836,1
11891,1
12361,1
12654,1
12657,1
12924,1
14448,1
14477,1
14625,2
15126,1
15127,1
15155,1
15159,1
15672,2
16954,1
18694,1
22098,1
24638,1
25048,1
27762,1
30595,1
32833,1
32846,1
35408,1
38919,1
42945,1
48419,1
50017,1
51528,1
52921,1
53279,1
53663,1
53996,1
54025,1
54221,1
55030,1
55125,1
55440,2
55712,1
55748,1
56318,1
56768,1
56769,1
56770,1
57135,1
57159,1
58904,1
59149,1
60532,3
61341,1
61486,1
62789,1
62812,1
62830,1
62874,1
62977,2
63662,1
63726,1
64774,1
64917,1
65008,1
71373,1
71406,1
72376,1
74373,1
74919,1
78001,2
81772,1
88347,1
89215,1
89286,1
89435,1
90054,1
90764,1
91401,3
91994,1
92054,1
92168,1
92230,1
93280,1
93317,1
93329,4
94243,1
95324,1
95844,1
96106,1
96182,1
96385,1
96413,1
96574,1
96702,1
96749,1
96765,2
97521,2
98987,1
99310,1
99335,1
99523,1
101069,1
102155,1
103284,1
104719,1
105913,1
106670,1
106804,1
107749,8
107794,1
108299,1
108862,1
120646,1
121838,3
121842,1
121880,2
122021,1
122040,1
122858,2
123499,1
123948,2
123957,2
125052,1
125136,1
125763,1
126685,1
129961,1
130044,1
130315,1
130944,1
132873,1
133348,1
134064,1
135269,1
136717,1
136718,1
138532,1
138714,1
138836,1
139932,2
140366,1
140960,4
141298,1
142604,1
142802,3
143009,2
143472,1
143667,1
143827,1
143981,1
144247,1
144431,1
144514,1
144686,1
144718,1
144854,1
144984,1
146063,1
146558,1
146735,1
147140,2
147151,2
147680,1
148259,2
148420,1
149075,1
149221,1
150045,1
151227,1
151259,1
152473,1
153176,1
153319,2
153338,1
153376,2
153441,1
153875,1
153965,1
154008,1
154658,1
154724,1
154918,2
155099,1
155473,1
155720,1
155874,1
156089,1
157663,1
157761,1
157901,1
158261,1
158434,1
158898,1
159095,1
159542,1
160249,1
160945,2
162624,1
162700,1
162958,1
162987,1
165100,1
165410,1
165680,1
167140,1
167869,1
168114,1
168329,1
168672,1
170012,1
170044,1
170079,2
170415,2
170526,9
170545,2
170812,1
176322,1
177718,1
178135,1
178141,1
178180,1
178386,1
179012,1
180012,1
181705,1
183081,1
183451,1
183706,1
183963,1
184415,1
184493,1
184598,1
185032,1
185109,2
186200,1
186746,1
187357,1
187927,1
188071,1
190004,1
191931,1
192699,1
192821,1
193471,1
194952,1
195159,1
196068,1
196674,1
197063,1
197273,1
197752,1
200079,1
200382,1
200912,2
201542,2
203300,1
203312,1
203442,1
204533,1
205759,1
205817,1
206631,3
206809,1
207345,1
207508,1
207523,1
208527,1
208721,1
209032,1
209040,2
209685,1
209699,1
209980,1
210763,1
211089,1
211750,1
211940,1
212060,1
214713,2
214722,2
215245,1
215299,2
215491,1
216469,1
216684,1
216694,1
217350,1
217407,1
218225,1
218479,1
218660,3
218832,1
218850,1
219693,1
220314,1
220483,1
221134,1
221658,1
222053,2
222768,1
222770,1
223434,1
223621,1
223768,1
224818,3
225210,1
225904,1
226382,1
227108,1
228040,1
228114,1
228278,1
228952,1
230113,1
230219,2
230348,1
230860,2
231444,1
231766,1
234521,1
234563,3
235011,1
235159,1
235210,1
235413,3
235513,1
235707,1
236562,1
236621,1
238308,1
239574,1
243736,1
243798,1
244527,1
245637,1
245694,2
246418,1
246630,1
247382,1
247627,4
248152,1
249497,1
250432,1
250805,1
251030,1
251615,1
252032,1
252198,1
252384,1
253166,1
253493,1
255574,1
256702,1
256879,1
257376,1
257588,1
259769,1
259834,1
261119,1
261939,1
261995,1
262563,1
263426,1
263969,1
264407,1
265917,2
265997,1
266713,1
268096,1
268668,1
268733,1
269095,2
269320,1
271836,1
271875,1
273608,1
274315,1
275198,1
275578,1
275585,1
275895,1
276308,1
276816,1
276962,1
276999,1
277077,1
278471,1
278589,1
278840,1
279096,1
279247,1
279729,1
279996,1
280161,1
280398,1
280666,1
281338,1
281670,1
282141,1
282353,2
282365,1
282898,2
282961,1
283245,1
283381,1
283643,2
283736,1
283965,1
284338,1
284765,1
285270,1
285455,1
285768,1
285949,1
285998,2
286087,1
286135,1
286230,1
286231,1
286233,1
286331,1
287664,1
287746,1
288019,1
288055,2
288146,1
288315,1
288329,1
288893,1
288898,1
289274,1
289681,1
290265,1
290302,1
290785,1
290949,1
291844,1
291922,1
292047,1
293073,1
293248,2
293304,1
293737,1
294185,1
294444,1
294678,1
295050,1
295694,1
295838,1
295960,1
296026,1
296280,1
296704,1
297363,1
297389,1
298253,1
298278,1
298363,1
298518,1
298954,1
299030,1
299040,1
299149,2
299202,1
299497,1
299838,1
301480,2
301609,1
301956,1
302948,1
302989,1
303171,1
303262,1
303511,1
304040,1
304331,1
304751,1
305073,1
306226,1
306616,1
307386,1
307525,1
308304,2
308869,1
309022,1
309451,1
309968,1
310304,1
311237,2
313237,1
313353,1
313356,1
313387,1
314266,1
314317,2
314375,1
315087,1
315736,1
316179,1
316734,1
316948,1
317309,1
317442,1
317679,2
318180,1
319720,1
320225,1
321190,1
323750,1
323924,1
324973,1
601500,1
700591,1
895642,1
30016102,1
30068637,1
30068818,1
30070838,1
30103980,1
30110450,1
60798363,1
NA,53
