"Initials","n"
"ADM",9
"AHN",3
"GEM",34
"JAR",559
"JCS",78
"KC",2
"MAC",1
"MH",141
"OSD",1
"PNK",7
"RAT",128
"SRW",1912
"aae",95
"aao",310
"abb",99
"abc",478
"adm",31
"aem",896
"ajf",6
"ajm",524
"ajr",1099
"amh",32
"amm",334
"ams",30
"bap",1898
"bas",1599
"ber",25
"bre",9
"by",500
"caa",1072
"cal",40
"car",3148
"cav",27
"cc",145
"cfg",7
"cjm",1357
"cke",954
"cmb",821
"cmm",268
"cnm",1661
"cre",11
"ctb",270
"dck",1096
"dcm",381
"dew",3
"dpw",15
"drm",25
"ean",1651
"edp",5
"eeh",32
"eek",28
"eli-b",10
"eli-c",3
"eli-ca",3
"eli-g",2
"eli-h",3521
"enb",716
"ens",1366
"fap",3961
"ftk",1382
"gie",312
"idg",8
"iej",11
"jag",495
"jaw",340
"jbm",3227
"jbu",248
"jcg",399
"jdl",246
"jef",77
"jh",1130
"jjd",2
"jjw",537
"jks",541
"jll",11
"jlw",1
"jph",118
"jpv",3031
"jwc",106
"keh",133
"kjb",1
"kjw",48
"kkf",6
"klc",5242
"klj",3
"klw",3
"kmd",322
"krt",637
"ks",108
"lab",64
"ldv",2269
"ljs",90
"mas",2094
"meh",221
"mej",525
"mh",1406
"mjb",474
"mjm",278
"mmc",555
"mnh",214
"mpg",22
"mrc",2591
"mwl",9
"nae",44
"njp",85
"nrb",456
"pap",3344
"ped",185
"pjw",5847
"pmw",3
"prw",814
"qej",3
"rbf",1100
"rco",1194
"rgk",10
"rik",32
"rjh",909
"rlh",10317
"rrs",32
"rs4",108
"sbf",26
"ser",3
"sld",1359
"slf",1498
"slj",43
"spb",2289
"srh",1341
"stp",16
"taw",368
"tmj",56
"trc",5
"trp",1291
"wjj",7
"zas",725
