"Lat","n"
0,2633
5.45331,1
14.7312265,1
23.3301,1
37.42,2
40.000629,1
41.1046,1
41.196862,1
41.256074,1
41.619919,1
42.502326,1
43.544236,1
43.739492,1
44.176911,1
44.189589,1
44.191944,1
44.21433,1
44.27523,1
44.3225,1
44.415738,1
44.423406,1
44.465207,1
44.468,1
44.485808,1
44.4932,1
44.52642,1
44.577271,1
44.588111,1
44.596642,1
44.5967859,1
44.596827,2
44.627014,1
44.6608,2
44.673173,2
44.6813,1
44.68368333,1
44.687,1
44.687703,1
44.68793,1
44.68833,1
44.695222,1
44.6957353,1
44.70194444,1
44.71855,1
44.724306,1
44.73009,1
44.730991,1
44.732778,1
44.7381,2
44.738917,1
44.7527,2
44.7558,1
44.7565,1
44.759014,1
44.763239,1
44.76359,2
44.7675,1
44.7734397,1
44.7866,1
44.78798,1
44.788922,1
44.789058,1
44.789889,1
44.807778,1
44.81203,1
44.81257,1
44.8154,1
44.817226,1
44.822831,1
44.82866,1
44.83146,1
44.852595,1
44.87,1
44.893012,1
44.922,1
44.96453,1
44.9794168,1
44.984067,1
45,2
45.007851,1
45.007888,1
45.0082,1
45.016111,1
45.019592,1
45.0223376,1
45.026013,1
45.0263,1
45.02896,1
45.032502,1
45.041923,1
45.042615,1
45.04854,1
45.0522,1
45.0549508,1
45.0577079,1
45.0578884,1
45.06559,1
45.07056,1
45.07168,1
45.078634,1
45.08003,1
45.080589,2
45.0851,1
45.086958,1
45.091688,1
45.0927,1
45.093,1
45.09464,1
45.09519,1
45.09605,1
45.09707,1
45.098056,1
45.09838,2
45.098397,1
45.120915,1
45.122503,1
45.128154,1
45.12924,1
45.138933,1
45.1418454,1
45.144825,1
45.1448257,2
45.147325,1
45.148611,1
45.150599,1
45.153153,1
45.158703,1
45.16,1
45.160404,1
45.161615,1
45.161626,2
45.16383,1
45.165572,1
45.16579,1
45.1671107,1
45.167714,1
45.168333,1
45.17025,1
45.1711,1
45.173517,1
45.175062,1
45.175833,1
45.177722,1
45.18027,1
45.180378,1
45.1821907,2
45.1856833,1
45.187694,1
45.187741,1
45.18867,1
45.188682,2
45.18935,1
45.189369,1
45.18943,1
45.189461,1
45.190333,1
45.191717,1
45.191733,1
45.193681,1
45.195369,1
45.197225,4
45.19731,2
45.2002,1
45.200278,1
45.208215,1
45.2087,3
45.2111182,1
45.211182,2
45.2111826,1
45.21185,1
45.21557,1
45.215833,1
45.216667,1
45.21678,1
45.2171613,1
45.2171845,1
45.2183753,1
45.21882,1
45.218854,2
45.21886,1
45.2202,1
45.22053,1
45.220954,1
45.22155,1
45.2225,1
45.223032,1
45.2245,1
45.2245097,1
45.225278,1
45.227253,1
45.228808,1
45.229937,1
45.232817,1
45.2398,1
45.240847,1
45.2409765,1
45.245656,1
45.246111,1
45.248,1
45.249767,1
45.25,1
45.2512101,1
45.251227,1
45.252093,1
45.253582,1
45.2539,1
45.254167,1
45.254386,1
45.2583,2
45.258888,2
45.263819,1
45.264237,1
45.267278,1
45.268,1
45.2681202,1
45.270318,1
45.274673,3
45.275066,5
45.276846,1
45.27995,1
45.283483,1
45.287778,1
45.2884569,1
45.295556,1
45.296512,1
45.297683,1
45.306968,1
45.307297,1
45.309827,1
45.315748,1
45.323056,1
45.325533,1
45.3289,1
45.33,1
45.33027778,1
45.330528,1
45.331333,1
45.33138889,1
45.335697,1
45.34,3
45.341795,1
45.344089,1
45.344436,1
45.345118,1
45.346754,2
45.3485,1
45.34952,3
45.351709,1
45.3564947,1
45.35653,1
45.360817,1
45.3627,1
45.364954,1
45.367752,1
45.368247,1
45.3685,1
45.3697,1
45.37021,1
45.37026,1
45.3704036,1
45.371254,1
45.37154,1
45.373137,1
45.37589,1
45.376283,1
45.37745,6
45.37822,1
45.380458,1
45.3823,1
45.382438,1
45.382691,1
45.385047,1
45.385057,1
45.3853601,1
45.3859,1
45.388131,1
45.388917,1
45.39,1
45.390674,2
45.39163,1
45.3923,1
45.3951,1
45.395428,3
45.397379,1
45.40438,1
45.404603,1
45.4049,1
45.40581,1
45.406222,1
45.4107592,1
45.41217,1
45.412283,2
45.413573,2
45.413726,1
45.41445,1
45.41513,1
45.416667,1
45.4167,1
45.417027,1
45.418657,1
45.420522,1
45.42381,1
45.4241,1
45.4251,1
45.425995,1
45.426367,1
45.428011,1
45.42844,1
45.42869,1
45.428823,1
45.4289127,1
45.431561,1
45.43197,1
45.43343,1
45.4343,2
45.4348,1
45.435438,1
45.438611,1
45.439995,1
45.441021,1
45.44113,1
45.441389,1
45.44223,1
45.442377,1
45.442382,1
45.442453,1
45.443313,1
45.443611,1
45.443981,1
45.444002,1
45.444056,3
45.444061,2
45.444222,1
45.444245,1
45.44429,1
45.4442984,1
45.44433,1
45.445942,1
45.44785,1
45.45005,1
45.453336,1
45.453372,1
45.453679,1
45.45369,1
45.454103,1
45.455648,1
45.456797,3
45.457056,1
45.457652,2
45.4579458,1
45.457986,1
45.4605,2
45.462342,1
45.46263,1
45.46287,1
45.462893,2
45.463824,1
45.46435,1
