"Long","n"
-1092861179,1
-111050057,1
-454.19,1
-127.7543,1
-123.922,2
-117.61812,1
-115.93852,1
-115.64993,1
-115.640835,1
-115.603507,1
-115.586667,1
-115.557919,1
-115.542929,1
-115.53728,1
-115.53605,1
-115.534505,1
-115.533756,1
-115.493034,1
-115.47674,1
-115.25807,1
-115.248982,1
-115.109167,2
-115.03259,1
-114.987189,1
-114.978836,1
-114.96776,1
-114.943444,1
-114.899911,1
-114.896667,1
-114.8956,2
-114.869807,2
-114.661156,1
-114.6568954,1
-114.645833,1
-114.5998,1
-114.494787,1
-114.474883,1
-114.432402,1
-114.40612,1
-114.40458,1
-114.3924,2
-114.36,1
-114.305043,1
-114.277526,1
-114.2747762,1
-114.263147,1
-114.24247,1
-114.241111,1
-114.240919,1
-114.237643,1
-114.234038,1
-114.232056,1
-114.23031,1
-114.23,1
-114.229214,1
-114.228933,1
-114.228449,1
-114.2283566,1
-114.226943,2
-114.219733,1
-114.217482,1
-114.213218,1
-114.2105,1
-114.210424,1
-114.208894,1
-114.20886,1
-114.208333,1
-114.20671,1
-114.205,1
-114.204671,1
-114.201111,1
-114.197777,1
-114.197222,1
-114.196217,1
-114.1946,1
-114.193893,1
-114.193056,1
-114.1913,1
-114.191239,1
-114.191099,1
-114.190903,1
-114.1908462,1
-114.1908,1
-114.19053,1
-114.189722,1
-114.189173,1
-114.189167,1
-114.188056,1
-114.187223,1
-114.186389,1
-114.185833,1
-114.184559,1
-114.182944,1
-114.182373,1
-114.18235,1
-114.17978,1
-114.179615,1
-114.178703,1
-114.1763,1
-114.176234,1
-114.175743,1
-114.17443,1
-114.17304,1
-114.171806,1
-114.17167,1
-114.1715898,1
-114.17135,1
-114.170742,1
-114.169686,1
-114.168452,1
-114.167813,1
-114.165895,2
-114.1658704,1
-114.16587,1
-114.165864,1
-114.1657637,2
-114.165556,4
-114.163111,1
-114.162624,1
-114.160697,1
-114.1575409,1
-114.1557,1
-114.155054,1
-114.1542373,1
-114.153757,1
-114.15291,1
-114.152874,1
-114.15189,1
-114.1508187,1
-114.150355,1
-114.14983,1
-114.14978,1
-114.14957,1
-114.148479,1
-114.14841,1
-114.1483665,1
-114.14786,1
-114.147543,1
-114.146925,1
-114.146512,1
-114.146389,1
-114.146321,1
-114.14614,1
-114.145838,1
-114.145643,1
-114.144195,1
-114.143333,1
-114.141249,1
-114.138528,1
-114.137453,1
-114.13507,1
-114.1333333,1
-114.132577,1
-114.130684,1
-114.13,1
-114.129736,1
-114.129073,1
-114.125557,4
-114.125523,1
-114.124991,1
-114.124502,1
-114.124306,1
-114.123355,1
-114.1227,1
-114.121584,1
-114.120775,1
-114.120426,1
-114.12028,1
-114.119354,1
-114.118818,1
-114.1173,1
-114.115756,1
-114.115558,1
-114.114972,1
-114.114897,1
-114.11352,1
-114.1132,1
-114.112042,1
-114.111056,1
-114.110556,1
-114.11,1
-114.108292,1
-114.107802,1
-114.10649,1
-114.106167,1
-114.106016,1
-114.105915,2
-114.104537,1
-114.10437,1
-114.103319,1
-114.1028,1
-114.10047,1
-114.1,1
-114.097298,1
-114.097163,1
-114.09698,1
-114.095484,1
-114.09525,1
-114.094646,1
-114.0928,1
-114.092771,1
-114.092661,1
-114.09139,1
-114.0906147,1
-114.0900418,1
-114.08952,1
-114.08934,1
-114.086881,1
-114.084203,1
-114.084,1
-114.082536,1
-114.082379,1
-114.0821489,1
-114.079722,1
-114.07933,1
-114.07904,1
-114.079022,1
-114.0779,1
-114.07702,1
-114.075529,1
-114.074055,1
-114.0736944,1
-114.0728,1
-114.070767,1
-114.070239,1
-114.06965,1
-114.069643,1
-114.069267,1
-114.06917,1
-114.068127,1
-114.067745,1
-114.066388,1
-114.065895,1
-114.0652,1
-114.06461,1
-114.064549,1
-114.06437,1
-114.063838,1
-114.06326,2
-114.0631,1
-114.06189,1
-114.061395,1
-114.06133,1
-114.0612023,1
-114.061202,2
-114.0597835,1
-114.0597312,1
-114.0584,1
-114.05641,1
-114.056408,1
-114.056331,1
-114.0561748,1
-114.056085,1
-114.0555,1
-114.055016,1
-114.05419,1
-114.0535,1
-114.0534,1
-114.053167,1
-114.052854,1
-114.05076,1
-114.049788,1
-114.049525,1
-114.04917,1
-114.0486,1
-114.048122,1
-114.047964,1
-114.047579,1
-114.047254,1
-114.04461,1
-114.043889,1
-114.0438,1
-114.043689,1
-114.043578,1
-114.042314,1
-114.0398657,1
-114.0384894,1
-114.038242,1
-114.038146,1
-114.037656,2
-114.03688,1
-114.0353,1
-114.035238,2
-114.02388,1
-114.02304,1
-114.022554,1
-114.020305,1
-114.01986,1
-114.018496,1
-114.018167,2
-114.01778,1
-114.013333,1
-114.011983,1
-114.009394,1
-114.008171,1
-114.0076,1
-114.0020574,1
-114.000833,1
-114.000342,1
-114.0002214,1
-114,1
-113.998056,1
-113.996389,1
-113.992975,1
-113.99085,1
-113.9795503,1
-113.978395,1
-113.977185,1
-113.964684,1
-113.960222,1
-113.951521,1
-113.946925,1
-113.938776,1
-113.896667,1
-113.853642,1
-113.846004,1
-113.748774,1
-113.621816,1
-113.62045,2
-113.595762,1
-113.569181,1
-113.55439,1
-113.525841,1
-113.462069,1
-113.427455,1
-113.406261,1
-113.337069,1
-113.31704,1
-113.312802,1
-113.29324,1
-113.202117,2
-113.1183,1
-113.0914,1
-113.065166,1
-113.02836,1
-112.988889,1
-112.986359,1
-112.960889,1
-112.82,2
-112.774928,1
-112.772222,1
-112.765117,2
-112.75315,1
-112.751725,1
-112.751643,1
-112.74534,1
-112.7213468,1
-112.700456,1
-112.6923612,1
-112.69168,1
-112.6803,1
-112.677778,1
-112.64285,1
-112.633526,1
-112.628672,2
-112.628569,1
-112.621665,1
-112.616704,1
-112.611797,1
-112.61179,1
-112.6057346,1
-112.578333,1
-112.57454,1
-112.557825,1
-112.524983,1
-112.524683,2
-112.511783,1
-112.5094,1
-112.509247,2
-112.50142,1
-112.492999,2
-112.492044,1
-112.491861,1
-112.483644,1
-112.46861,1
-112.4639,1
-112.461833,1
-112.449,1
-112.433,1
-112.4329,1
-112.42972,2
-112.428889,2
-112.427158,1
-112.4180542,1
-112.4006412,1
-112.393611,1
-112.391944,1
-112.3873,1
-112.3855181,1
-112.368333,1
-112.36329,1
-112.356217,1
-112.3558044,1
-112.337977,1
-112.336294,2
-112.3360469,1
-112.3333333,1
-112.3311933,1
-112.328611,1
-112.324656,1
-112.312589,1
-112.309249,1
-112.303889,1
-112.30102,1
-112.29747,1
-112.297118,1
-112.29134,1
-112.280411,1
-112.278959,1
-112.2769444,1
-112.275411,2
-112.265896,1
-112.261234,1
-112.258666,1
-112.252134,1
-112.250906,1
-112.237369,1
-112.237222,1
-112.2357,2
-112.235528,1
-112.2355,1
-112.235151,1
-112.218951,1
-112.21822,1
-112.212178,1
-112.21048,1
-112.209741,1
-112.202778,1
-112.193955,1
-112.19,1
-112.18968,1
-112.188916,1
-112.188738,1
-112.1885026,2
-112.1847,1
-112.18457,1
-112.1834,1
-112.181307,1
-112.18105,1
-112.180511,1
-112.1777427,1
-112.177742,1
-112.177677,1
-112.1744,1
-112.169516,1
-112.169072,1
-112.168889,1
-112.168344,1
-112.163899,1
-112.158798,1
-112.1585825,1
-112.157157,1
-112.156578,1
-112.156325,1
-112.155495,1
-112.153993,1
-112.15285,1
-112.152398,1
-112.15175,1
-112.150833,1
-112.148896,1
-112.146858,1
-112.146806,1
-112.145885,1
-112.145833,1
-112.141389,1
-112.140556,1
-112.140389,1
-112.140278,1
-112.139406,1
-112.137957,1
-112.13781,1
-112.1366788,1
-112.136667,1
-112.134929,1
-112.1343,1
-112.1311,1
-112.130953,1
-112.129681,1
-112.128368,1
-112.12362,1
-112.122249,1
-112.122222,1
-112.116568,3
-112.116297,2
-112.11572,1
-112.114239,1
-112.114036,1
-112.10908,1
-112.108751,1
-112.1077,1
-112.1038632,1
-112.1037269,1
-112.100135,1
-112.0966686,1
-112.096351,2
-112.0949862,3
-112.094986,3
-112.094886,1
-112.09431,1
-112.093305,1
-112.092845,1
-112.0918917,1
-112.09107,1
-112.090613,1
-112.085,1
-112.08314,1
-112.082552,2
-112.08232,1
-112.08188,1
-112.081511,1
-112.081396,1
-112.08013,1
-112.0770119,1
-112.076252,1
-112.076194,1
-112.072724,1
-112.072429,1
-112.066728,1
-112.0661,1
-112.0657,1
-112.0652408,2
-112.06362,1
-112.062901,1
-112.061574,1
-112.0611889,1
-112.0609,1
-112.05791,1
-112.0578,1
-112.0567,1
-112.056389,1
-112.056,1
-112.054261,1
-112.0528991,1
-112.052788,1
-112.052645,1
-112.052189,1
-112.048333,1
-112.047605,1
-112.04696,1
-112.044528,1
