"MailZipCode","n"
-98837,3
-59873,1
-59870,5
-59859,2
-59840,2
-59833,1
-59828,5
-59759,3
-59752,3
-59718,5
-59715,13
-59714,1
-59602,3
-59601,2
-59538,1
-59486,2
-59462,1
-59454,1
-59443,1
-59442,1
-59427,5
-59405,2
-59404,2
-59349,2
-59344,1
-59330,2
-59324,2
-59317,2
-59313,5
-59301,2
-59270,2
-59263,1
-59244,1
-59101,1
-59072,1
-59068,1
-59066,1
-59063,1
-59028,2
-59019,1
-59011,1
1770,1
3840,1
8751,1
14051,1
20008,1
20015,1
20190,1
21120,1
21771,1
22066,1
22314,1
24503,1
28701,1
32082,1
33042,1
46307,1
50225,1
53589,1
55318,1
55352,1
57701,3
57724,1
57747,1
58501,1
58643,3
58784,1
58801,4
59001,30
59002,3
59003,9
59006,65
59008,8
59010,1
59011,21
59012,1
59013,5
59014,20
59015,2
59016,2
59018,3
59019,78
59020,3
59022,2
59024,8
59026,3
59027,9
59028,15
59029,10
59030,6
59031,2
59032,3
59033,2
59034,34
59035,4
59036,6
59037,56
59038,19
59041,53
59043,16
59044,79
59046,15
59047,28
59049,1
59050,10
59052,2
59053,9
59054,16
59055,4
59057,17
59058,1
59059,3
59061,6
59062,6
59063,27
59064,6
59065,5
59066,5
59067,5
59068,82
59069,15
59070,24
59071,3
59072,112
59073,1
59074,17
59075,7
59077,2
59078,1
59079,66
59083,1
59085,2
59086,8
59087,13
59088,68
59089,1
59101,119
59102,86
59103,5
59104,7
59105,112
59106,104
59107,7
59108,5
59109,2
59201,9
59215,4
59218,1
59221,7
59222,5
59223,2
59225,4
59230,10
59241,10
59243,8
59244,7
59247,1
59248,14
59250,2
59253,4
59254,1
59255,4
59257,1
59259,7
59260,3
59261,15
59262,9
59263,18
59270,27
59274,10
59301,39
59311,6
59313,71
59314,7
59315,4
59316,6
59317,82
59319,4
59323,6
59324,36
59326,7
59327,39
59330,56
59332,5
59336,7
59337,3
59338,1
59339,6
59343,9
59344,22
59345,2
59347,6
59349,67
59351,17
59353,14
59401,5
59403,3
59404,25
59405,20
59406,1
59410,10
59411,3
59412,6
59414,1
59417,10
59418,2
59419,4
59420,1
59421,8
59422,37
59425,16
59427,40
59430,10
59432,5
59433,9
59434,2
59436,36
59440,1
59441,1
59442,12
59443,6
59444,2
59446,1
59447,3
59450,1
59451,6
59452,5
59453,1
59454,1
59456,1
59457,47
59460,9
59462,7
59464,2
59466,4
59467,1
59468,6
59469,8
59471,4
59472,1
59474,3
59476,1
59477,3
59479,38
59480,1
59482,6
59483,7
59484,1
59485,16
59486,13
59487,5
59489,11
59501,5
59520,1
59522,1
59523,8
59524,8
59526,17
59527,2
59529,1
59534,1
59537,4
59538,57
59542,5
59544,10
59578,1
59601,65
59602,220
59604,17
59624,8
59631,1
59632,15
59633,3
59634,33
59635,35
59638,6
59639,13
59640,2
59642,3
59643,13
59644,14
59645,10
59648,9
59701,11
59710,7
59714,143
59715,387
59716,24
59717,8
59718,247
59719,17
59720,11
59721,7
59725,10
59728,4
59729,52
59730,59
59732,1
59733,1
59735,4
59740,13
59741,61
59743,1
59747,10
59748,2
59749,7
59751,1
59752,61
59754,1
59755,1
59758,32
59759,86
59760,4
59771,28
59772,6
59801,1
59802,3
59808,2
59820,1
59821,1
59824,10
59826,1
59827,6
59828,87
59829,24
59833,18
59834,1
59840,162
59844,4
59845,2
59847,1
59848,1
59850,1
59851,1
59858,1
59859,11
59860,9
59864,14
59865,2
59870,58
59871,2
59873,3
59874,10
59875,49
59901,6
59904,1
59911,4
59913,1
59918,1
59920,2
59922,1
59923,1
59928,1
59934,1
59943,1
63376,1
66547,1
68130,2
69501,1
70810,1
71112,1
73116,1
74018,1
77563,1
80128,3
80134,1
80209,1
80238,2
80504,1
80521,1
80908,1
80919,1
81526,1
82009,1
82331,1
82401,1
82410,1
82414,38
82421,2
82431,3
82432,1
82433,5
82435,65
82440,2
82450,5
82732,1
82801,3
83201,1
83814,1
84020,1
84044,2
84049,1
84062,1
84088,1
84121,1
84318,2
85044,1
87111,1
89511,3
89702,1
89714,1
91103,1
91359,1
91361,1
91941,1
92037,1
93001,1
93110,1
93111,1
94062,2
94070,1
94118,1
94526,2
94558,1
94583,1
94596,3
94939,1
94960,2
95070,1
95608,1
96034,1
96161,1
96839,1
97213,1
97218,1
97344,1
97530,1
98008,1
98074,3
98177,1
98199,2
98273,1
98290,1
98595,1
99203,1
99224,2
99352,1
99516,1
99645,1
99827,1
598755,1
NA,10
