"NResult","n"
-9.5,1
-8,1
-7,3
-6,7
-5,12
-4,30
-3.6,1
-3,57
-2.3,1
-2,143
-1,110
-0.9,27
-0.8,21
-0.7,20
-0.6,32
-0.5,24
-0.4,43
-0.3,34
-0.2,49
-0.1,30
-0.09,6
-0.08,10
-0.07,10
-0.06,6
-0.05,12
-0.04,5
-0.03,4
-0.02,8
-0.01,3
-0.008,1
-0.005,3
-0.004,1
-0.002,2
0,18350
1e-04,1
2e-04,1
3e-04,6
4e-04,7
5e-04,13
6e-04,12
7e-04,5
8e-04,5
9e-04,8
0.001,441
0.0011,6
0.0012,3
0.0013,6
0.0014,5
0.0015,1
0.0016,8
0.0017,19
0.0018,7
0.0019,1
0.002,548
0.0021,3
0.0022,4
0.0023,6
0.0024,8
0.0025,3
0.0026,8
0.0027,5
0.0028,6
0.0029,2
0.003,346
0.0031,5
0.0032,1
0.0033,2
0.0034,5
0.0035,3
0.0036,8
0.0037,4
0.0038,1
0.0039,4
0.004,208
0.0041,2
0.0042,1
0.0043,1
0.0046,1
0.0047,3
0.0048,2
0.005,191
0.0051,1
0.0052,1
0.0054,2
0.0055,1
0.0056,5
0.0057,1
0.0059,2
0.006,155
0.0061,2
0.0062,3
0.0063,1
0.0064,4
0.0067,3
0.0068,1
0.0069,4
0.007,128
0.0071,2
0.0073,2
0.0076,1
0.008,113
0.0081,2
0.0083,2
0.0085,2
0.0087,1
0.0088,3
0.009,91
0.0095,1
0.0096,1
0.0097,1
0.0098,2
0.01,527
0.0102,1
0.0103,1
0.0104,1
0.0105,1
0.011,73
0.0111,1
0.0116,2
0.0117,1
0.0119,1
0.012,51
0.0123,1
0.0124,1
0.0128,1
0.013,46
0.0133,1
0.0134,1
0.0137,2
0.0138,3
0.014,44
0.0141,1
0.0144,2
0.0149,1
0.015,42
0.0156,1
0.0157,1
0.016,31
0.0162,1
0.0167,1
0.017,46
0.0172,2
0.0173,1
0.0175,1
0.0179,2
0.018,24
0.0184,1
0.0188,2
0.0189,1
0.019,35
0.0196,1
0.0198,1
0.02,500
0.021,29
0.0215,1
0.022,39
0.0224,1
0.0226,1
0.0227,1
0.023,30
0.0233,1
0.0236,1
0.024,25
0.0249,1
0.025,27
0.0252,1
0.026,21
0.027,21
0.0272,1
0.028,21
0.0283,1
0.0288,1
0.029,17
0.0297,1
0.0299,1
0.03,381
0.031,19
0.032,19
0.0325,1
0.0329,1
0.033,11
0.034,14
0.0345,1
0.035,20
0.0356,1
0.036,16
0.0365,1
0.037,14
0.0378,1
0.038,15
0.0383,1
0.039,10
0.0394,1
0.04,270
0.041,12
0.042,15
0.043,8
0.044,13
0.045,10
0.0455,1
0.046,5
0.047,7
0.048,10
0.0489,1
0.049,6
0.05,208
0.051,10
0.052,11
0.053,8
0.054,5
0.055,7
0.0558,1
0.056,5
0.057,6
0.058,9
0.059,5
0.06,188
0.061,4
0.062,11
0.063,7
0.064,5
0.065,2
0.066,6
0.067,5
0.068,11
0.069,4
0.07,156
0.071,3
0.072,6
0.073,8
0.074,6
0.075,4
0.076,5
0.077,8
0.078,5
0.079,4
0.08,136
0.081,2
0.082,6
0.083,3
0.084,5
0.085,4
0.086,5
0.087,3
0.088,6
0.089,4
0.09,126
0.091,3
0.092,2
0.093,4
0.094,4
0.095,3
0.096,7
0.097,2
0.098,7
0.099,4
0.1,512
0.101,8
0.102,4
0.103,2
0.104,2
0.105,2
0.106,4
0.107,2
0.108,2
0.109,4
0.11,96
0.111,2
0.112,1
0.113,3
0.114,5
0.115,4
0.116,3
0.117,1
0.118,3
0.119,3
0.12,111
0.122,4
0.123,2
0.124,1
0.125,3
0.126,4
0.127,2
0.128,2
0.13,95
0.131,1
0.132,2
0.133,1
0.134,1
0.135,2
0.136,1
0.137,2
0.138,3
0.139,1
0.14,88
0.141,1
0.142,2
0.143,1
0.144,3
0.148,1
0.149,3
0.15,114
0.151,2
0.152,2
0.154,2
0.158,2
0.159,3
0.16,84
0.162,3
0.163,6
0.165,2
0.166,1
0.168,2
0.17,88
0.172,2
0.173,2
0.174,2
0.175,1
0.18,88
0.181,1
0.182,2
0.183,1
0.184,1
0.185,4
0.186,1
0.187,1
0.188,1
0.189,1
0.19,65
0.191,1
0.192,1
0.193,1
0.194,2
0.195,3
0.196,1
0.197,2
0.198,1
0.2,803
0.202,2
0.206,1
0.207,3
0.209,2
0.21,57
0.211,2
0.213,2
0.214,1
0.215,2
0.217,1
0.218,3
0.219,2
0.22,93
0.221,1
0.222,1
0.223,3
0.224,2
0.228,1
0.23,73
0.232,3
0.233,1
0.235,3
0.236,2
0.237,1
0.24,73
0.245,1
0.246,2
0.249,1
0.25,52
0.251,1
0.252,2
0.253,1
0.254,1
0.255,1
0.257,1
0.258,2
0.26,47
0.261,1
0.263,2
0.264,1
0.265,1
0.266,1
0.267,1
0.268,2
0.269,1
0.27,53
0.272,3
0.274,1
0.275,2
0.278,1
0.28,72
0.281,1
0.283,1
0.284,2
0.285,1
0.286,2
0.29,53
0.291,2
0.292,2
0.294,1
0.295,2
0.297,1
0.299,1
0.3,804
0.306,1
0.309,2
0.31,58
0.311,3
0.312,1
0.313,2
0.32,61
0.329,2
0.33,40
0.331,1
0.332,2
0.333,1
0.334,2
0.335,1
0.337,1
0.34,54
0.343,2
0.345,2
0.347,1
0.348,1
0.35,43
0.355,1
0.357,1
0.36,38
0.361,1
0.365,1
0.366,1
0.368,1
0.37,43
0.372,1
0.373,1
0.38,52
0.384,1
0.387,2
0.388,1
0.39,37
0.391,1
0.393,1
0.394,2
0.4,783
0.401,2
0.402,1
0.403,1
0.404,1
0.41,33
0.413,1
0.414,2
0.418,1
0.42,41
0.421,1
0.423,1
0.424,1
0.428,1
0.429,1
0.43,27
0.436,1
0.438,1
0.439,1
0.44,31
0.443,1
0.446,1
0.45,34
0.452,1
0.455,2
0.458,2
0.459,1
0.46,30
0.461,1
0.463,1
0.464,1
0.47,39
0.471,1
0.472,1
0.475,1
0.478,1
0.48,34
0.482,1
0.49,42
0.496,1
0.498,1
0.5,628
0.501,2
0.507,1
0.508,1
0.509,1
0.51,26
0.511,1
0.518,1
0.52,27
0.529,1
0.53,29
0.54,38
0.544,1
0.546,1
0.549,1
0.55,29
0.555,1
0.56,24
0.562,2
0.566,1
0.57,31
0.575,1
0.58,34
0.582,1
0.588,1
0.59,27
0.594,1
0.596,1
0.6,495
0.608,1
0.61,23
0.62,28
0.621,1
0.63,22
0.633,3
0.635,1
0.64,25
0.645,1
0.649,1
0.65,26
0.66,18
0.67,33
0.676,2
0.68,38
0.685,1
0.688,1
0.69,26
0.699,1
0.7,328
0.71,18
0.72,42
0.721,1
0.722,1
0.723,1
0.73,27
0.74,29
0.75,19
0.752,1
0.753,1
0.758,1
0.76,19
0.769,1
0.77,21
0.78,25
0.79,16
0.8,275
0.802,2
0.804,1
0.81,25
0.82,23
0.83,15
0.84,31
0.849,1
0.85,23
0.852,1
0.854,1
0.859,1
0.86,29
0.87,19
0.874,1
0.88,21
0.887,1
0.889,1
0.89,16
0.9,213
0.91,17
0.912,1
0.92,15
0.93,14
0.94,17
0.947,1
0.95,21
0.96,23
0.968,1
0.969,1
0.97,23
0.971,1
0.979,1
0.98,13
0.99,15
0.993,1
1,946
1.01,14
1.02,19
1.03,17
1.04,19
1.05,11
1.06,17
1.07,14
1.08,15
1.09,18
1.1,131
1.11,14
1.12,17
1.13,17
1.14,15
1.15,12
1.16,17
1.17,16
1.18,13
1.19,12
1.2,91
1.21,16
1.22,16
1.23,14
1.24,14
1.25,13
1.26,10
1.27,25
1.28,13
1.29,16
1.3,70
1.31,22
1.32,21
1.33,12
1.34,16
1.35,10
1.36,12
1.37,8
1.38,10
1.39,9
1.4,67
1.41,13
1.42,8
1.43,12
1.44,17
1.45,8
1.46,12
1.47,11
1.48,9
1.49,17
1.5,61
1.51,16
1.52,8
1.53,9
1.54,10
1.55,7
1.56,13
1.57,12
1.58,10
1.59,14
1.6,33
1.61,5
1.62,12
1.63,7
1.64,9
1.65,12
1.66,10
1.67,7
1.68,8
1.69,10
1.7,35
1.71,8
1.72,12
1.73,6
1.74,6
1.75,12
1.76,10
1.77,5
1.78,11
1.79,9
1.8,42
1.81,3
1.82,12
1.83,13
1.84,10
1.85,7
1.86,10
1.87,6
1.88,13
1.89,11
1.9,32
1.91,16
1.92,10
1.93,7
1.94,10
1.95,10
1.96,11
1.97,10
1.98,3
1.99,7
2,1312
2.01,2
2.02,10
2.03,8
2.04,16
2.05,13
2.06,11
2.07,6
2.08,4
2.09,6
2.1,19
2.11,7
2.12,1
2.13,10
2.14,11
2.15,5
2.16,9
2.17,7
2.18,9
2.19,9
2.2,24
2.21,8
2.22,7
2.23,10
2.24,3
2.25,3
2.26,7
2.27,6
2.28,11
2.29,3
2.3,14
2.31,6
2.32,5
2.33,9
2.34,8
2.35,3
2.36,4
2.37,4
2.38,9
2.39,3
2.4,26
2.41,8
2.42,5
2.43,7
2.44,2
2.45,3
2.46,4
2.47,5
2.48,5
2.49,8
2.5,14
2.51,10
2.52,3
2.53,9
2.54,6
2.55,7
2.56,11
2.57,5
2.58,10
2.59,7
2.6,16
2.61,6
2.62,3
2.63,6
2.64,3
2.65,4
2.66,6
2.67,2
2.68,9
2.69,2
2.7,9
2.71,3
2.72,1
2.73,5
2.74,5
2.76,3
2.77,4
2.78,9
2.79,7
2.8,14
2.81,5
2.82,6
2.83,2
2.84,6
2.85,6
2.86,5
2.87,5
2.88,7
2.89,1
2.9,6
2.91,5
2.92,8
2.93,4
2.94,7
2.95,4
2.96,3
2.97,1
2.98,4
2.99,4
3,1169
3.01,11
3.02,4
3.03,5
3.04,5
3.05,4
3.06,3
