"Notes_RegSheet","n"
"",3368
"""2 bottles, 1 kit""
X) Water softener and Other: Sand filter",1
"""Lesh"" written in name box",1
"""New owner may like to have this information""",1
"""No chlorine used in well"" written in the margins",1
"""Rust filter"" ; county discrepency",1
"""Was not possible for a non-swivel, non-mixing faucet""",1
"""We do not own well we rent house"" and ""Well is under house"" written in share county section
""surrounded by crop fields and cattle graze"" written on'other' line in predominant use of land",1
"""We will be happy to show our results to various agencies, but we think the testing is our immediate concern.""",1
"""filter"" is written next to Do you currently treat your water before drinking?",1
"""flathead lake water hughes Bay, West Shore - 3 mi S. of Lakeside draw water from lake""",1
"""is it good for drinking?""",1
"""new house"" next to septic system box",1
"""other well is 150 ft deep and leaves white film on leaves. This well is approx. 30 ft deep. Wonder if this water will do the same.""

written next to full domestic analysis ""assume this includes total iron too. If not, give me a call and I can pay with",1
"""reverse osmosis for drinking water""",1
"""would like to"" use water as primary drinking source; depth ""30ft?"";",1
"'Other' Treatment entered as 'UV'",1
"- Source is not a well but a spring 
- All homes using this spring are on septics",1
"0-500 livestock Head seasonally",1
"1 set circled in C), no boxes checked, put into database as no for MultSamples
Q) In other section, ""wildlife"" is written, and residential box is checked off. Put into the database as residential
CC) written ""gravity fed to home from improved spring - g",1
"1,5,10 Micro Filter and UV Filter",1
"1-50 Livestock Head",1
"10 ft well",1
"10 ft well; county discrepency; 100 head from june-september, none rest of year; would like to drink water",1
"10 squirrels in property",1
"100 chickens; GWIC info "" drilled 1959""; depth 27ft; previous well ed testing year not specified",1
"100 ft well",9
"1000 ft well",1
"102 ft well. Holding tank pumped in 2014. second phone number:651-454-1855",1
"103 ft well",1
"103 ft well depth; septic ever pumped nothing checked and ""not household"" written",1
"105 ft well",2
"105 ft well depth",1
"106 ft well depth",1
"108 ft well",1
"110 ft well",3
"110 ft well depth",1
"115 well depth",1
"117 ft well",1
"117 ft well; County discrepency",1
"118 ft well",1
"119 ft well depth",1
"12 chickens",1
"120 ft well",5
"120 ft well. Cattle during grazing season",1
"120 ft well; county discrepency",1
"121 ft well",1
"125 ft well depth",1
"125 ft well; county discrepency",1
"127 ft well",1
"130 ft well",3
"1300 ft well depth",1
"135 ft well",1
"138 ft well",1
"14 ft well",1
"140 ft well",4
"140 ft well depth",1
"148 ft well",1
"15 ft well",4
"15 ft well depth",1
"150 ft well depth",2
"151 ft well; Land use also assisted living facility",1
"152' well",1
"16 ft well",1
"160 ft well",2
"160 ft well depth",1
"160 ft well depth
county mispelled, correct written in by initials NS 10/27/2020",1
"160 ft well; county discrepency",1
"161 ft Well",1
"163 ft well",1
"165 ft well",1
"170 ft well",3
"171 ft well",1
"172 ft well",1
"175 ft well",1
"18 ft well",2
"180 ft well",9
"180 ft well. Treatment: Ozone cation-anion calcite.",1
"180 ft well; county discrepency",1
"19 ft well",1
"190 ft well",1
"190 ft well; might drink water in future",1
"1996 written in line next to ""have you tested this well in the MT Well Educated program before?""",1
"2 email addresses: the one put into the database and Painterx4@hotmail.com
*Note on the back of the registration form with Township, Section, Range, County
R) 4 HORSES
Q) Residential and Other(but not checked off): w/ 4 horses
Z) Note: Only for hardne",1
"2 email addresses: the one put into the database and Painterx4@hotmail.com
AA) Yes, tested in the year 2019",1
"2 phone numbers: 406-671-2504, 406-428-2191 K) Note: Surface water R) Seasonally about 80 head in that pasture",1
"2-40 livestock head",1
"20 ft depth",1
"20 ft well",4
"20 ft well depth",1
"200 ft well",3
"200 ft well depth; park county WY",1
"200 ft well depth; township 01N section 10 range 27E",1
"200 ft well. Land Use: ""Domestic"". 4 horses",1
"2015 is year septic was pumped",1
"202 ft well",1
"2020 year of lst test with MT WELL EDUCATED",1
"205 ft well",1
"21 ft well",2
"210 ft well",1
"22 ft well",3
"22 ft well. 60 sheep.",1
"220 ft well. And particulate",1
"225 ft well depth",1
"22ft well",1
"23 ft well",1
"230 ft well",1
"238' well",1
"239 ft well. And particulate treatment",1
"24 ft well",2
"240 ft well",1
"245 ft well",1
"247' well",1
"25 ft",1
"25 ft well",2
"25 ft well; seasonal livestock",1
"250 ft well",3
"256 ft well depth",1
"26 ft well",1
"26 ft well; county discrepency; 431-1361 also provided as phone number",1
"260 ft well",1
"260 ft well depth",1
"260 ft well. Last tested 2014",1
"265 ft well",2
"27 ft well",3
"270 ft well",1
"275 ft well",1
"276 ft well",1
"28 ft well",1
"288 ft well",1
"290 ft well",1
"290' well w? watertable at 130'",1
"2nd E-mail: BJELF@hotmail.com",1
"2nd Email: shillyer@bankofbozeman.com",1
"2nd email fourhanginfour@yahoo.com",1
"3 filter system",1
"30 ft well",3
"30 ft well depth",2
"30-50 ft well depth",1
"300 cows only 2 months/year",1
"300 cows only 4 months/year",1
"302 ft well",1
"31 ft well",1
"32 - 54 ft well",1
"32 ft well",2
"320 ft well",2
"320 ft well depth",2
"33 ft well",1
"33 ft well. Lasted test 2013",1
"330 ft well",1
"330 ft well depth",2
"330 ft well. And reverse osmosis treatment",1
"33ft well depth",1
"34 ft well",1
