"PhysicalZipCode","n"
-59873,1
-59870,5
-59859,2
-59845,3
-59840,2
-59833,1
-59828,5
-59759,3
-59752,2
-59718,5
-59715,13
-59714,2
-59602,3
-59601,2
-59538,1
-59486,2
-59462,1
-59454,1
-59443,1
-59442,1
-59427,5
-59405,1
-59404,3
-59349,1
-59344,1
-59330,2
-59326,1
-59324,2
-59317,2
-59313,5
-59301,2
-59276,1
-59270,2
-59244,1
-59101,1
-59072,1
-59069,1
-59068,1
-59066,1
-59063,1
-59028,2
-59011,1
45792,1
52829,1
55352,1
57724,1
58643,3
59001,37
59002,2
59003,7
59006,67
59008,12
59010,1
59011,22
59012,1
59013,7
59014,35
59015,2
59016,2
59018,1
59019,80
59020,5
59022,2
59024,6
59026,4
59027,9
59028,20
59029,12
59030,5
59031,2
59032,5
59033,2
59034,37
59035,4
59036,8
59037,58
59038,21
59039,1
59041,57
59043,16
59044,79
59046,18
59047,35
59050,10
59052,5
59053,4
59054,16
59055,4
59057,19
59059,7
59060,1
59061,18
59062,6
59063,30
59064,9
59065,6
59066,5
59067,6
59068,98
59069,17
59070,38
59071,5
59072,123
59073,2
59074,16
59075,3
59076,1
59077,2
59078,5
59079,63
59081,4
59083,1
59085,2
59086,11
59087,15
59088,68
59089,1
59101,98
59102,23
59104,2
59105,97
59106,89
59107,2
59109,2
59110,2
59201,8
59215,4
59217,1
59218,1
59221,6
59222,6
59223,1
59225,6
59230,8
59241,8
59243,8
59244,7
59247,1
59248,17
59249,1
59250,3
59253,4
59254,1
59255,4
59257,1
59259,6
59260,3
59261,17
59262,9
59263,17
59270,31
59274,9
59301,38
59311,7
59313,66
59314,9
59315,4
59316,6
59317,80
59319,4
59323,5
59324,38
59326,9
59327,39
59330,58
59332,5
59336,8
59337,3
59339,5
59343,11
59344,21
59345,2
59347,7
59349,74
59351,17
59353,15
59354,1
59401,2
59403,1
59404,27
59405,14
59410,13
59411,4
59412,10
59414,1
59417,9
59418,2
59419,4
59420,2
59421,9
59422,37
59425,17
59427,35
59430,10
59432,7
59433,4
59434,3
59436,37
59440,1
59441,5
59442,10
59443,5
59444,3
59446,3
59447,2
59450,1
59451,6
59452,6
59453,1
59454,1
59456,1
59457,47
59460,9
59462,6
59463,3
59464,4
59465,1
59466,3
59467,1
59468,6
59469,8
59471,5
59472,1
59474,3
59476,1
59477,2
59479,38
59480,2
59482,6
59483,6
59484,1
59485,15
59486,11
59487,9
59489,12
59501,4
59520,1
59522,1
59523,10
59524,11
59526,17
59527,2
59529,1
59537,4
59538,57
59542,5
59544,9
59578,1
59601,54
59602,244
59604,4
59621,1
59631,2
59632,16
59633,3
59634,31
59635,33
59638,6
59639,23
59640,4
59641,1
59642,4
59643,13
59644,18
59645,11
59647,1
59648,22
59701,11
59710,7
59711,4
59714,149
59715,390
59716,28
59717,7
59718,246
59720,15
59721,13
59725,11
59728,4
59729,54
59730,67
59732,1
59733,2
59735,4
59740,14
59741,64
59743,1
59746,1
59747,13
59748,2
59749,9
59751,2
59752,66
59754,1
59758,35
59759,84
59760,2
59771,1
59772,1
59795,2
59808,1
59820,1
59821,1
59823,2
59824,11
59825,1
59826,4
59827,6
59828,95
59829,33
59832,1
59833,21
59840,142
59844,4
59845,1
59848,1
59858,2
59859,11
59860,10
59862,1
59864,13
59865,2
59868,3
59870,67
59871,4
59873,2
59874,11
59875,48
59901,6
59904,1
59911,5
59913,1
59916,3
59918,2
59920,2
59922,1
59923,1
59928,1
59934,1
59936,1
59943,1
69501,1
82009,1
82325,1
82401,1
82410,1
82414,35
82421,2
82431,2
82432,1
82433,8
82435,68
82450,5
82801,2
83420,2
83429,5
84049,1
89714,1
96822,1
98273,1
99141,1
NA,43
