"ReportDate","n"
"",23427
"1/10/2017",21
"1/10/2018",45
"1/10/2019",9
"1/10/2020",32
"1/11/2016",94
"1/11/2018",14
"1/11/2019",32
"1/11/2021",33
"1/12/2015",23
"1/12/2018",8
"1/12/2021",51
"1/13/2015",8
"1/13/2017",62
"1/13/2020",9
"1/13/2021",36
"1/14/2015",8
"1/14/2016",11
"1/14/2019",105
"1/14/2020",46
"1/14/2021",6
"1/15/2015",22
"1/15/2018",44
"1/15/2019",24
"1/15/2020",23
"1/16/2015",52
"1/16/2019",21
"1/16/2020",94
"1/17/2018",31
"1/17/2019",72
"1/18/2016",30
"1/18/2019",32
"1/18/2021",29
"1/19/2016",53
"1/19/2021",60
"1/2/2021",23
"1/20/2015",42
"1/20/2016",35
"1/20/2017",28
"1/20/2021",32
"1/21/2016",3
"1/21/2019",70
"1/21/2020",105
"1/21/2021",23
"1/22/2016",22
"1/22/2018",8
"1/22/2019",9
"1/22/2020",90
"1/22/2021",97
"1/23/2018",22
"1/23/2019",189
"1/23/2020",23
"1/24/2018",30
"1/24/2019",29
"1/25/2017",68
"1/25/2020",3
"1/25/2021",35
"1/26/2016",49
"1/26/2018",42
"1/26/2021",30
"1/27/2015",45
"1/27/2017",17
"1/27/2020",118
"1/27/2021",83
"1/28/2015",22
"1/28/2016",56
"1/28/2019",33
"1/28/2020",75
"1/28/2021",91
"1/29/2015",25
"1/29/2016",9
"1/29/2019",29
"1/29/2020",4
"1/29/2021",50
"1/3/2017",22
"1/3/2019",43
"1/30/2017",74
"1/30/2018",137
"1/30/2020",27
"1/31/2017",35
"1/31/2018",117
"1/31/2020",64
"1/4/2016",3
"1/4/2018",9
"1/4/2019",24
"1/5/2016",20
"1/5/2017",2
"1/5/2022",25
"1/6/2016",83
"1/7/2015",3
"1/7/2016",66
"1/7/2019",9
"1/7/2021",86
"1/8/2015",30
"1/8/2018",22
"1/8/2020",75
"1/8/2021",5
"1/9/2017",22
"1/9/2019",23
"10/1/2015",57
"10/1/2019",89
"10/1/2020",65
"10/10/2016",36
"10/10/2017",50
"10/10/2018",26
"10/10/2019",9
"10/11/2016",3
"10/11/2017",58
"10/11/2018",200
"10/11/2019",5
"10/12/2015",23
"10/12/2016",57
"10/12/2017",22
"10/12/2018",18
"10/12/2020",42
"10/13/2015",71
"10/13/2016",19
"10/13/2017",22
"10/13/2020",131
"10/14/2015",22
"10/14/2016",48
"10/15/2015",42
"10/15/2018",49
"10/15/2020",141
"10/16/2018",56
"10/16/2020",39
"10/17/2016",6
"10/17/2017",75
"10/17/2018",47
"10/18/2017",22
"10/18/2018",56
"10/19/2016",22
"10/19/2020",38
"10/2/2015",60
"10/2/2017",25
"10/2/2018",41
"10/2/2019",9
"10/2/2020",93
"10/20/2016",63
"10/20/2017",38
"10/20/2020",23
"10/21/2015",45
"10/21/2016",45
"10/21/2020",104
"10/22/2015",80
"10/22/2018",23
"10/22/2020",104
"10/23/2015",19
"10/23/2017",155
"10/23/2020",29
"10/24/2017",45
"10/24/2018",189
"10/25/2016",129
"10/25/2017",46
"10/25/2018",62
"10/26/2015",16
"10/26/2016",116
"10/26/2017",66
"10/26/2018",63
"10/26/2020",87
"10/27/2015",74
"10/27/2016",22
"10/27/2017",74
"10/27/2020",70
"10/28/2016",50
"10/28/2017",262
"10/28/2020",28
"10/29/2015",8
"10/29/2020",44
"10/3/2016",123
"10/3/2017",52
"10/3/2018",170
"10/3/2019",10
"10/30/2020",47
"10/31/2016",64
"10/31/2017",42
"10/31/2018",3
"10/4/2016",8
"10/4/2017",76
"10/4/2018",106
"10/4/2019",78
"10/4/2022",24
"10/5/2015",22
"10/5/2016",45
"10/5/2018",116
"10/5/2020",10
"10/6/2015",49
"10/6/2016",1
"10/6/2020",61
"10/7/2015",66
"10/7/2019",151
"10/7/2020",62
"10/8/2019",42
"10/8/2020",104
"10/9/2015",11
"10/9/2017",51
"10/9/2018",3
"10/9/2019",52
"10/9/2020",33
"11/1/2016",22
"11/1/2017",124
"11/1/2018",21
"11/10/2015",97
"11/10/2016",32
"11/10/2017",28
"11/10/2020",42
"11/10/2021",2
"11/11/2015",108
"11/11/2020",27
"11/12/2015",22
"11/12/2018",25
"11/12/2020",32
"11/13/2015",28
"11/13/2017",33
"11/13/2018",3
"11/13/2020",18
"11/14/2017",16
"11/14/2018",72
"11/15/2016",56
"11/15/2017",71
"11/15/2023",24
"11/16/2015",120
"11/16/2017",42
"11/16/2018",75
"11/16/2020",102
"11/17/2015",72
"11/17/2016",30
"11/17/2017",16
"11/17/2020",28
"11/18/2016",53
"11/18/2020",43
"11/19/2015",25
"11/19/2020",90
"11/2/2016",97
"11/2/2017",20
"11/2/2018",34
"11/20/2015",24
"11/20/2017",81
"11/20/2018",23
"11/20/2020",53
"11/21/2016",44
"11/21/2017",12
"11/21/2018",23
"11/22/2016",75
"11/22/2017",29
"11/23/2015",44
"11/24/2015",81
"11/24/2020",45
"11/25/2015",6
"11/25/2020",24
"11/26/2018",76
"11/27/2018",51
"11/27/2023",27
"11/28/2018",47
"11/29/2016",71
"11/29/2017",30
"11/29/2018",29
"11/3/2015",166
"11/3/2016",22
"11/3/2017",28
"11/3/2020",26
"11/3/2021",9
"11/30/2016",23
"11/30/2017",2
"11/30/2018",115
"11/4/2015",27
"11/4/2016",6
"11/4/2020",51
"11/5/2015",11
"11/5/2020",26
"11/6/2017",44
"11/6/2018",112
"11/6/2020",9
"11/7/2016",40
"11/7/2018",42
"11/7/2023",49
"11/8/2017",44
"11/8/2018",71
"11/9/2016",76
"11/9/2017",30
"11/9/2018",259
"12/1/2016",30
"12/1/2017",5
"12/1/2020",41
"12/1/2023",6
"12/10/2015",46
"12/10/2018",41
"12/10/2020",48
"12/11/2017",70
"12/11/2020",68
"12/12/2016",23
"12/12/2017",53
"12/12/2018",54
"12/13/2016",54
"12/13/2017",92
"12/13/2018",5
"12/14/2015",45
"12/14/2017",36
"12/14/2018",45
"12/14/2020",27
"12/15/2015",124
"12/16/2015",20
"12/16/2016",25
"12/16/2020",45
"12/17/2018",63
"12/18/2015",44
"12/18/2018",21
"12/19/2016",3
"12/19/2017",45
"12/19/2018",27
"12/2/2016",32
"12/2/2020",9
"12/20/2016",24
"12/20/2017",75
"12/20/2018",74
"12/21/2015",71
"12/21/2017",115
"12/21/2020",64
"12/22/2015",22
"12/22/2016",3
"12/22/2017",22
"12/22/2020",44
"12/23/2015",25
"12/23/2020",21
"12/24/2015",21
"12/24/2018",3
"12/24/2020",24
"12/26/2017",51
"12/26/2018",64
"12/26/2023",47
"12/27/2016",22
"12/27/2017",86
"12/28/2015",22
"12/28/2016",28
"12/28/2017",29
"12/28/2018",73
"12/28/2020",127
"12/29/2016",24
"12/29/2017",25
"12/29/2020",46
"12/3/2015",25
"12/3/2018",81
"12/3/2021",11
"12/30/2015",22
"12/30/2016",26
"12/30/2020",52
"12/31/2015",28
"12/31/2018",23
"12/4/2015",48
"12/4/2017",12
"12/4/2018",30
"12/4/2020",9
"12/5/2016",72
"12/5/2017",44
"12/5/2018",45
"12/6/2016",110
"12/6/2017",56
"12/7/2016",72
"12/7/2018",22
"12/7/2020",33
"12/8/2015",22
"12/8/2016",20
"12/8/2017",39
"12/8/2020",26
"12/9/2015",3
"12/9/2016",111
"12/9/2020",52
"2/1/2016",45
"2/1/2017",4
"2/1/2018",44
"2/1/2019",154
"2/1/2021",41
"2/10/2015",22
"2/10/2016",99
"2/10/2017",31
"2/10/2020",46
"2/10/2021",74
"2/10/2023",23
"2/11/2015",66
"2/11/2016",3
"2/11/2019",9
"2/11/2020",9
"2/11/2021",3
"2/12/2015",38
"2/12/2016",23
"2/12/2018",31
"2/12/2019",68
"2/12/2020",21
"2/13/2015",71
"2/13/2018",38
"2/14/2017",22
"2/14/2018",23
"2/14/2019",3
"2/14/2020",2
"2/15/2017",10
"2/15/2018",110
"2/15/2019",46
"2/16/2016",136
"2/16/2017",5
"2/17/2016",124
"2/18/2015",91
"2/18/2016",27
"2/18/2020",18
"2/18/2021",54
"2/19/2016",8
"2/19/2020",26
"2/2/2015",79
"2/2/2018",8
"2/2/2021",11
"2/2/2022",23
"2/20/2018",43
"2/20/2019",49
"2/20/2020",29
"2/21/2018",28
"2/22/2016",44
"2/22/2017",42
"2/22/2018",68
"2/22/2019",9
"2/22/2021",23
"2/23/2016",71
"2/23/2018",24
"2/23/2021",52
"2/23/2022",30
"2/24/2015",102
"2/24/2016",1
"2/24/2020",68
"2/24/2021",28
"2/25/2015",45
"2/25/2016",59
"2/25/2019",9
"2/25/2021",26
"2/26/2016",8
"2/26/2019",24
"2/26/2020",94
"2/27/2015",30
"2/27/2017",24
"2/27/2018",27
"2/27/2019",48
"2/27/2020",48
"2/28/2017",97
"2/28/2018",55
"2/28/2019",18
"2/28/2020",23
"2/29/2016",27
"2/3/2015",31
"2/3/2016",32
"2/3/2020",37
"2/3/2021",57
"2/4/2015",49
"2/4/2016",33
"2/4/2020",9
"2/4/2021",34
"2/5/2015",31
"2/5/2016",22
"2/5/2018",17
"2/5/2019",147
"2/5/2020",105
"2/5/2021",23
"2/6/2015",117
"2/6/2017",66
"2/6/2018",98
"2/6/2019",23
"2/6/2020",84
"2/7/2017",41
"2/7/2019",64
"2/7/2020",77
"2/8/2016",73
"2/8/2017",22
"2/8/2018",64
"2/8/2019",28
"2/8/2021",23
"2/9/2016",44
"2/9/2018",31
"2/9/2021",53
"3/1/2017",20
"3/1/2018",35
"3/1/2019",34
"3/1/2021",30
"3/10/2015",23
"3/10/2016",42
"3/10/2017",32
"3/10/2020",107
"3/10/2021",26
"3/11/2015",27
"3/11/2016",38
"3/11/2020",137
"3/12/2015",22
"3/12/2018",53
"3/12/2020",27
"3/13/2015",9
"3/13/2017",31
"3/13/2018",35
"3/13/2019",23
"3/13/2020",15
