"SampleDescription","n"
"",1518
"# 1 well drinking & spraying",1
"#1",1
"#2 - Full Domestic Analysis",1
"#2A qualification",1
"1",1
"1 Bottle Bacteria, 1 Bottle Other Parameters",1
"1 bottle bacteria, 1 bottle other parameters",1
"1 of 1 - pump to pressure tank",1
"1 of 2 - kitchen faucet - line flushed",1
"1 set",1
"1 set (2 bottles)",1
"1. Untreated Source 2. Drinking H2O Source",1
"105 Gilmore Lane House Sample",1
"1050 Smith cistern H2A House",1
"1064 spring",1
"1084 jenne lane water sample",1
"114 Dalton",2
"1155 High Ridge Drive Test",1
"1160 Smith cistern H2A house",1
"117 Pintail Ridge Water Sample",1
"12 Melville main household well",1
"120 Briggs Ln",1
"121 COLD SMOKE",1
"12150 Gallatin St Well Sample",1
"13 Blue wing well water",1
"13 Two Bumps Domestic",1
"132V2 Hebgen Lake rd",1
"14 High K Street well",1
"14 Lariat Loop Home Test",1
"14 Marshall Lane Water Well",1
"1410 W 9th Laurel MT 59044",1
"143 farmland xing",1
"15 water safe for human consumption",1
"1516 Kadzie shared well",1
"1520 shop/gallery",1
"1524 House",1
"155 Jeffers Loop South",1
"1586 Mackie Square Malta MT",1
"159 Barnes Ln. sample",1
"169 Bowman Rd Well",1
"1704 polo ln",1
"1715 alder CT laundry",1
"18 woolston road",1
"185 Meadowlark Well Water",1
"19",1
"1915 Well in Three Forks",1
"1945 Well",1
"1st Test of new well",1
"1st sample after coliform shock chlorination",1
"1st test this well",1
"2",1
"2 1/2 acre Pond",1
"2 Bottles household water",1
"2 Wells filling a cistern",1
"2 wells into 1 cistern",1
"2015 house well analysis",1
"2015 new house well",1
"2016 New Well I.D. 2320",1
"2016 basic analysis",1
"2016 mckamey, matthew well sample",1
"2017 July Water Well Sample",1
"2017 Well Test",1
"2017 test of house water",1
"2017 untreated kitchen faucet",1
"2018 Annual Water Test",1
"2019 Prairie Smoke",1
"2019 annual water test",1
"2019 water test Griffin",1
"2019 well water test - mckay",1
"2020- 2 annual water test",1
"2021 5200 Copeland Well Test",1
"2021 Well",1
"2021 Well Water (iron) test",1
"2021 annual water test",1
"2022 210 Ridge Trail House",1
"2023 sample of well",1
"205 Roaring Lion Road Well",1
"21 Mile Road Well",1
"21 Oak",1
"21 construction perry farm",1
"210 Ridge Trail Well 2021",1
"211 Meadowood Well",1
"2130 Rainbow Dr - Settlers Cove",1
"221, 203, 205, 29 Kim Curry Rd.",1
"2213 york road",1
"2320 H2O Re-V",1
"2360 Whitetail N Faucet",1
"2360 Whitetail kitchen sink",1
"237 Hilltop Drive, Hamilton, MT",1
"238' well, 15 6pm = well log",1
"2415 1/2 2nd st So Ballantine",1
"2415 2nd st so",1
"251 Hilltop Drive Hydrant Sample",1
"27 Gardner park Dr. Well",1
"2nd #1",1
"2nd Well on Vacant Property",1
"2nd floor faucet - bathroom",1
"2nd shallow well",1
"2nd well test drinking",1
"3 Bd Rm Main House 9/11/19 BS.",1
"3 Minute Flush",2
"3 Trails End Road Well",1
"3 miles E. of Charlo",1
"3 year old private well",1
"3.5 ac lot single family residence",1
"30 ft sand point",1
"3017 Candy Basic",1
"304 Rubin's house water sample",1
"3040 Amsterdam",1
"3133 F",1
"3133 H",1
"3133 Nashua Rd N",1
"3133 R.O.",1
"33 milligan canyon",1
"332 hyalite drive 2019",1
"333 Big Griz Lane",1
"344 Water Sample",1
"346 Water Sample",1
"357 Big Griz Lane",1
"38 Fox Road",1
"3830 Boylan Drive well sample",1
"3980 McHugh Ln - Wall Spiget",1
"3996 Anglers Lane",1
"3996 Anglers Ln",1
"3Cu Filtered",1
"3rd #1",1
"3rd #2",1
"4 Bacteria Nitrate $20 Arsenic $10",1
"40 Ac",1
"40' deep residential well",1
"400 Kim Curry Rd",1
"400 kim curry rd",1
"401 washington filtered",1
"401 washington unfiltered",1
"418 Arete Rd - Belgrade",1
"425 derek way",1
"4318 water well testing - drinking",1
"4427 Ruby Ct",1
"4440 denton gulch wolf creek",1
"4451 C",1
"447 Tracy Ann Not Softened",1
"460 lower rainbow road well",1
"4616 Union Hill Rd Nicholson",1
"47 Canyon Creek Rd Molt Mt",1
"478 Silvertip Ln",1
"484 West of house",1
"4841 Custer Well / pressure tank",1
"49 Bonnett Rd",1
"4990 Well Test",1
"501 Darla Dr Water Quality",1
"513 N. Western 2018",1
"5145 Walden Loop Helena Montana",1
"517 Second St SE duplex",1
"5250 Moon Ridge Trail Well",1
"527 Lane 8 1/2, Powell",1
"538 Skalkaho",1
"538A Skalkaho",1
"555 Towering Pines",1
"5824 racehorse loop water sample",1
"598 Pishel Creek Road",1
"5yr Unused Well",1
"605 hyalite view drive 2019",1
"613 Wildhorse Trail well sample",1
"625 Winchester Road Water Sample",1
"634 Winding Creek Trail Corvallis",2
"634 Winding creek trail corvallis",1
"6501 leverich Lane Silverson",1
"667 my lane",1
"6707 steiner cistern",1
"7 Chickadee Lane Red Lodge, MT 59068",1
"7 highlander, Three Forks Bathroom",1
"7093 Dry Creek House",1
"7093 Dry Creek Shop",1
"7093 drycreek pc",1
"717 Logan Avenue kitchen sink",1
"717 Logan Terry",2
"7241 Nez Perce Road Well",1
"7280 Midnite Dr sample",1
"73 Jeffers Rd",2
"7380 Jellison Rd- Spring",1
"76 Sather Rd Cut Bank",1
"7700 Gilt Edge Stage",1
"776 Cougar Dr Bozeman",1
"7804 Buckskin Drive Kitchen Faucet",1
"785-Well test",1
"787 Old Corvallis Rd, Corvallis Route",1
"796 Stonegate Warner Margolis",1
"8 man 9/11/19 BS",1
"84 prairie view well",1
"846 Tay Circle",1
"8632 Danford Ave Garden Well",1
"8632 Danford Ave House Well",1
"865 Mint View Rd",1
"896 #2",1
"896 East Old Hwy 10 Fallon",1
"9 O'Connor + 1 O'Connor, Powderville",1
"922 House Well",1
"?",1
"@ well",1
"A Basic Domestic Water Analysis",1
"A well on property acquired",1
"ABCNP",1
"AMOUNT OF NITRATE + MICROBE",1
"Aaron Hamlin Danmore well sample",1
"Aaron Harrington New Well",1
"Addicks well water test",1
"Adoplh Ranch 2022 Water Test",1
"Adult Foster Care",1
"After Filter",1
"After R.O.",1
"After R.O. Water",1
"After filter water sample",1
"After softening",1
"Air in water some sort of gas",1
"Alamosa Lane Home Water Supply",1
"Alder Court",1
"Alder Ct Utility sink",1
"Alder court",1
"Alfalfa downstream shop",1
"Alkali Creek 2139",1
"Allen & Crystal's House",1
"Amount of Zinc",1
"Andrew Steiger Home Well",1
"Andrews Place Well",1
"Annual Analysis for state surveyor",1
"Annual Testing",4
"Annual analysis",1
"Annual test of well water",1
"Annual water sample",2
"Annual well Check",1
"Annual well test",1
"Antelope Springs",1
"Apatoff Hodgeman Household Water",1
"Arrow Creek Artesian",1
"Arsenic",1
"Arsenic test for drinking water",2
"Artensian well/pond for horses",1
"Artesian well along river",1
"Aspen Hollow Peterson Hedquist",1
"Atkinson Ranch Belfry MT",1
"Austin Family Household Water Test",1
"Automatic -test #2",1
"BALL WELL 2023",1
"BALL WELL TEST 2021",1
"Backhoe Dug Well on Crick",1
"Bacteria",1
"Bacteria + N testing for LP1",1
"Bacteria and other test",1
"Bacteria replace sample, sample 4/12/2017 1 PM",1
"Bacteria water sample",1
"Bacteria, iron Analysis",1
"Bacteria/Nitrate",1
"Bad Taste and Smell Well Water",1
"Bad Taste, Bad Color, Bad Smell, Livestock Do Not Like It",1
"Bad Water in Area (arsenic)",1
"Badger track customs",1
"Barbee shooting star lane well",1
"Barn",4
"Barn Test.",1
"Barrel Spring 2139",1
"Barry",1
"Bartels, Full Domestic analysis",1
"Base test before 8406 septic",1
"Baseline",1
"Baseline water test ""new"" home",1
"Basement Bathroom w/ R.O.",1
"Basement Bathroom w/out R.O.",1
"Basement bathroom/no filter",1
"Basic",1
"Basic Annual Analysis",5
"Basic Annual Analysis, Arsenic, Uranium",1
"Basic Domestic Analysis",6
"Basic Domestic Analysis 2875 Tumbleweed",1
"Basic Domestic Analysis Testing",1
"Basic Domestic from Employee BR.",1
"Basic Information Well Water Quality",1
"Basic analysis for buhl well",1
"Basic annual analysis",1
"Basic domestic analysis",3
"Basic domestic analysis for home re-finance",1
"Basic domestic analysis nitrates bacteria",1
"Basic house sample for contamination",1
"Basic house water sample",1
"Basic sampling analysis",1
"Bath Facet Basement",1
"Bath tub cold water faucet (nonmixly, nonswivel, non-leaking)",1
"Bathroom Faucet",1
"Bathroom Faucet No Water Softener",1
"Bathroom Sink",1
"Bathroom faucet after iron filter",1
"Bathroom sink + outside",1
"Bathroom sink untreated well water",1
"Bathroom sink water",1
"Bear cub water testing",1
"Beartooth foothills piece of Heaven",1
"Beaver Creek Lodge kitchen faucet",1
"Beck residence",1
"Beckes home well Sutherland Ln",1
"Beefland Forcella House",1
"Before RO",1
"Before Water Treatment",1
"Before treatment system",1
"Bekker Farm Water Sample",1
"Belmont well water",1
"Bench Spring",1
"Berkey filter (Carbon)",1
"Bershard Arrow Creek",1
"Biddle School",1
"Big well",1
"Bill Drummond Water Well Sample",1
"Bill Wyrick House Well",1
"Black Moose Road Water Analysis",1
"Blind Draw New Sample Water",1
"Blond Barn",1
"Bluewater Spring Bluewater Fish Hatchery",2
"Bobbi",1
"Bourne Irrigation Well",1
"Bozeman Cohousing Site Pumped Well",1
"Brel 13",1
"Brew water post filter",1
"Brick house water test",1
"Bright",1
"Brownwater Well Essex Cabin",1
"Bruce's house main water source",1
"Brusda Water Sample July 2021",1
"Bryant Street Yellow House Water",1
"Buena Vista Residence East Well",1
"Building House",1
"Building a House",1
"Bull Pasture",1
"Burkins Properties Well Test Sample",1
"Burns Well Sample Yukon Sub",1
"Burton Private Well Colstrip MT",1
"Burton Private Well Colstrip Montana",1
"Butcher Shop Double Sink Tap",1
"Butcher Shop Tap",2
"Butcher Shop tap",1
"Butcher shop tap",3
"Buying New House on Well",1
"Buzz In RV Lot #2",1
"Byrne water test",1
"C. Alden",1
"C. VanDyke well water",1
"CLCB office",1
"Cabin",1
"Cabin Beaverhead County",1
"Cabin Coalmine Darby Veldboom",1
"Cabin Well 1187 Stillwater River",1
"Cabin Well Water",2
"Cabin at C.B.R",1
"Cabin in West Yellowstone, MT",1
"Cabin kitchen sink",1
"Cabin on river between Vaughn and Sun River",1
"Cabin water",1
"Cabin well in monarch MT",1
"Cabin well used on property",1
"Cabin well water",1
"Café 191 well",1
"Calf Pasture Well Water Test",1
"Came out of my well",1
"Canyon Creek",1
"Canyon Creek Irrigation Ditch Water",1
"Carbon County Fairgrounds Annual",1
"Carral Spigot Test",1
"Cattle Water",1
"Cattle resevoir one",1
"Caught at Bathroom Tap",1
"Caught at the cistern Inlet",1
"Cayuse",1
"Cecil Well",1
"Cedar Crk",1
"Channels Lodge Kitchen Faucet",1
"Channels lodge kitchen faucet",2
"Check Iron and Sodium (Soft water that tastes good)",1
"Check Quality of Spring Water",1
"Check Well Because of Smell",1
"Check for Bacteria",1
"Check for Contamination",2
"Check for bacteria",1
"Check for water quality",1
"Check if safe to drink.",1
"Check if water is good",1
"Check quality of water",1
"Check well for water quality",1
"Checking Quality of the Water",1
"Checking for Bacteria From High water",1
"Checking for contamination",1
"Checking on safety of water",1
"Checking quality of water",1
"Checking the Drinking Water",1
"Checking the health of our untreated domestic water",1
"Checking well water quality",1
"Christian's artesian well water cattle",1
"Cicci water well test",1
"Cindy Ross Arsenic house sample",1
"Cistern - houled water from Conrad",1
"Cistern Annual 2023",1
"Cistern Sept. Retest 2023",1
"Cistern System",1
"Cistern Test",1
"Cistern Timeless Seeds, Inc",1
"Cistern Water not well water",1
"Cistern using city water Great Falls",1
"City Well",1
"Clark water/well",1
"Clean",2
"Cleaned out cistern @ 12 Lake View",1
"Clear, Clean Household and Garden",1
"Clubhouse well spiggot",1
"Cold Drinking Water Sink Faucet Sample",1
"Cold faucet in bathroom",1
"Cold water from bathroom sink",1
"Cold water from kitchen faucet",1
"Collected @ Kitchen Sink",1
"Collected out of E. Aajker Creek",1
"Collected out of faucet",1
"Colleen Hughes Hillcrest Drive sample",1
"Combs Residence Well Sample 2017",1
"Community center water testing",1
"Community garden #6 Faucet",1
"Community garden irrigation",1
"Comparison of filtered and non filtered",2
"Compass Cattle- Apt at Otter Creek",1
"Compass Cattle- Otter Creek House",1
"Compass Cattle- Swallow House",1
"Concerned about quality of well water",1
"Concerned sewer and well contamination neighborhood",1
"Considering subdivision",1
"Contamination of wells in the area",1
"Cook Farm",1
"Corral Rd 16 Shaefer Home",1
"Corvallis Main Street",1
"Cottage Coal Mine Darby Veldboom",1
"Cottonwood Spring Tank Water Sample",1
"Cottonwood Well",1
"Coulee spring collected at trough",1
"Country Rd well test",1
"Craig tap water 2019",1
"Crawford Well Water Sample 2015",1
"Crazy Mountain Spring Water Test",1
"Creek",1
"Creek Pasture Reservoir",1
"Creek Running By Line Camp In Jim Ball Basin Area",1
"Creek Water CREEK PASTURE",1
"Cress Residence South Hills Rd",1
"Cretsinger home Water Well",1
"Curious about well water",1
"Curious what I'm drinking",1
"Curt Bales #3 Well",1
"D Turk #4",1
"DM 2 bottle",1
"Dahlman Ranch Drinking Water",1
"Dam for irrigation",1
"Dane Elliott's bottle of water",1
"Danford new well",1
"Daugherty Clark Water Sample",1
"Davis Creek Well Domestic / Livestock",1
"Dchan",1
"Dean House Hydrant",1
"Deep Domestic Well, Kitchen Tap",1
"Deep Water Well",1
"Deep Well",1
"Derrick's well at the house",1
"Determine The Safety Of This Drinking Water",1
"Determine quality of my water",1
"Developed Seep Spring- No Bacteria Test",1
"Developed spring - idled for years",1
"Devries Well Quality Test 2020",1
"Direct from Well @ 27 Stekar Lane",1
"Direct from well head",1
"Dob's House Well",1
"Dolan House - Bathroom",1
"Domestic",1
"Domestic  WS",1
"Domestic 145 water Sample",2
"Domestic Analysis from Rural Well",1
"Domestic Analysis of New Well",1
"Domestic GW from Faucet",1
"Domestic House New Well",1
"Domestic Use Well Sample for J. Buhl",1
"Domestic WS Water Sample",3
"Domestic Water",1
"Domestic Water Sample",1
"Domestic Water Sample- Drinkable?",1
"Domestic Water Well",1
"Domestic Water Well Red Lodge",1
"Domestic Water Well Sample",1
"Domestic Well",4
"Domestic Well + Use",1
"Domestic Well - house yard",1
"Domestic Well 60 Ft Wt",1
"Domestic Well Check",1
"Domestic Well Old Larson Place",1
"Domestic Well Sample",2
"Domestic Well Test",1
"Domestic Well Test for residential sale",1
"Domestic Well Water",4
"Domestic Well Water - Residence 2019/53",1
"Domestic Well for Drinking & Household",1
"Domestic Well on Farm",1
"Domestic Well, Kitchen Sample Test",1
"Domestic analysis health",1
"Domestic and Garden from Spring",1
"Domestic house use",1
"Domestic household softened well water",1
"Domestic new drilled well",1
"Domestic rainwater",1
"Domestic sample for VA",1
"Domestic tap water sample",1
"Domestic test new well",1
"Domestic use",1
"Domestic use + nitrate & water hardness",1
"Domestic water",1
"Domestic water from a well",1
"Domestic water sample",3
"Domestic water well",1
"Domestic well",2
"Domestic well 2601 Highway 312",1
"Domestic well kitchen faucet",1
"Domestic well near Canyon Ferry",1
"Domestic well sample",1
"Domestic well sample new home",1
"Domestic well unsoftened house yard",1
"Domestic well water",1
"Domestic well water from home",1
"Domestic well, bored, rural, hillside",1
"Domestic, Lawn and Garden Use",1
"Don't know what you need",1
"Donally East I Road Ballantine",1
"Doran Sample for Well Water",1
"Dowdy House Water Sample test",1
"Downstairs bathroom sink cold water",2
"Drawn as directed domestic / stock well",1
"Drawn from a cystern filled by a new well",1
"Drilled Well Water",1
"Drilled well in Crane MT",1
"Drinkability of This Water",1
"Drinkable, household, health, problems, livestock",1
"Drinking",2
"Drinking & Tree water",1
"Drinking H2O - Treated",1
"Drinking Water",2
"Drinking Water Analysis",1
"Drinking Water From Private Well",1
"Drinking Water From Well",1
"Drinking Water RO System",1
"Drinking Water Sample",2
"Drinking Water Sample Nugent June",1
"Drinking Water from Well",1
"Drinking tap water",1
"Drinking water - Kitchen",1
"Drinking water for household use",1
"Drinking water from a reverse osmosis faucet",1
"Drinking water from bathroom faucet",1
"Drinking water from house",1
"Drinking water from utility sink",1
"Drinking water from well",1
"Drinking water tap in kitchen",1
"Drinking water test 6930 Sypes",1
"Drinking water/garden water",1
"Drinking well water test",1
"Drinking, cooking, bathing, laundry, irrigation",1
"Drinkning Well Just Moved",1
"Dround Water From Well Hydrant",1
"Drummond well",1
"Duck Lake",1
"Dudley-Croft 2020 Well Sample",1
"Duehl Gallatin Gateway Lead Test",1
"Dunbar Cottonwood Sample",1
"Duncan Road Rental Sample",1
"Duplex Kitchenette Faucet",1
"Durrett Lower Well Bentley Ranch",1
"Durrett Upper Well Bentley Ranch",1
"Dutch hollow ranch white house",1
"Earth Home Well Water Test",1
"East side highway water test",1
"Ed Codden Real Estate Test",1
"Ed's House",1
"Elementary Irrigation Well",1
"Envir",1
"Equip UFF Land Ag Well",1
"Equipment Barn Domestic Water Source",1
"Eric Wandel water sample test",1
"Erin Wright Basic Domestic Analysis",1
"Ewen 2",1
"Exterior North Faucet Well Water",1
"F+M Ranch Housewater",1
"FIRST SAMPLE FROM OUR WELL",1
"FOX MT",1
"Fairfield House Well",1
"Fallon House Hand Dug Well",1
"Far North Well",1
"Farm House Not a Well",1
"Farm House Well Water",1
"Farm Residence: After treatment testing",1
"Farm Supervisor Residence Flying D",2
"Farm house developed spring January",1
"Farm house well - not processed",1
"Farm in the Dell Kitchen Sink",1
"Farmhouse",1
"Farmhouse Sink Well Test",1
"Farmhouse Well Water",1
"Farmsite well",1
"Farne",1
"Farver Farms Kitchen Sink Sample",1
"Faucet Water From Cowden Well",1
"Faucet sample for arsenic",1
"Fenlason Well Water Sample Test",1
"Fikes property well analysis 2020",1
"Filtered Drinking Water",1
"Filtered Sample for Bakke Residence",1
"Filtered Tap (Zero Water)",1
"Filtered water",1
"Filtered water drinking water safe",1
"Filtered water from bathroom",1
"Filtered well water",1
"Filtered with reverse osmosis system",1
"Filters needed for walk-in tub",1
"Find what is in the water - If safe",1
"First Draw Kitchen Testing for Lead",1
"First Sample Spinks Home Well",1
"First Test For New House",1
"First Well Testing For Us",1
"First morning master bath Mindy's",1
"First test since 1999",1
"First time well has been pumped",1
"Five Firs",1
"Flathead Lake Sample Hughes Bay",1
"Flatwillow Hall Well",1
"Fly Creek South of HQ",1
"Foamy, Bubbly",1
"Foch Pot Filler Water Sample",1
"Follow-Up To Earlier Test",1
"For Foster Home",1
"For H2A Application",1
"For Personal well water test",1
"For VA Loan",1
"For refinance",1
"For subdivision approval",1
"Foster  care license",1
"Foster Care Liscense",1
"Foust well 1 Filtered",1
"Foust well 1 NON",1
"Free Flowing Spring at Cabin",1
"Free flowing spring",1
"Free flowing well - before house",1
"Frenchman Ridge Well Below Hill",1
"Frey 1020 Smith Rd",1
"Frey 1160 Savoy Rd",1
