"SampleID","n"
"B15010102-001",22
"B15010113-001",8
"B15010129-001",3
"B15010287-001",23
"B15010435-001",8
"B15010437-001",8
"B15010537-001",22
"B15010659-001",8
"B15010717-001",22
"B15010723-001",22
"B15010991-001",22
"B15011067-001",20
"B15011172-001",22
"B15011246-001",22
"B15011394-001",23
"B15011558-001",25
"B15011559-001",22
"B15011664-001",27
"B15011673-001",27
"B15011673-002",27
"B15011681-001",22
"B15011685-001",23
"B15011709-001",3
"B15011797-001",31
"B15011911-001",6
"B15011911-002",2
"B15020051-001",22
"B15020118-001",24
"B15020119-001",22
"B15020243-001",22
"B15020246-001",22
"B15020247-001",27
"B15020334-001",22
"B15020543-001",22
"B15020549-001",22
"B15020552-001",22
"B15020733-001",8
"B15020744-001",27
"B15020814-001",8
"B15020818-001",22
"B15020847-001",22
"B15020850-001",23
"B15020858-001",22
"B15020863-001",22
"B15021103-001",24
"B15021327-001",20
"B15021327-002",2
"B15021348-001",34
"B15021348-002",2
"B15021397-001",22
"B15021400-001",22
"B15021456-001",20
"B15021502-001",22
"B15021699-001",27
"B15021701-001",3
"B15021702-001",28
"B15021703-001",28
"B15021726-001",6
"B15021794-001",22
"B15021796-001",27
"B15021963-001",23
"B15030096-001",8
"B15030100-001",8
"B15030156-001",23
"B15030173-001",27
"B15030175-001",3
"B15030177-001",2
"B15030283-001",22
"B15030614-001",23
"B15030617-001",8
"B15030754-001",9
"B15030909-001",7
"B15030913-001",22
"B15030927-001",8
"B15031138-001",23
"B15031258-001",10
"B15031260-001",1
"B15031263-001",10
"B15031267-001",25
"B15031473-001",3
"B15031776-001",3
"B15031781-001",24
"B15031786-001",8
"B15031790-001",22
"B15031885-001",4
"B15031888-001",23
"B15031923-001",22
"B15031968-001",3
"B15032095-001",1
"B15032095-002",2
"B15032301-001",23
"B15032302-001",24
"B15032303-001",8
"B15032352-001",23
"B15040017-001",22
"B15040018-001",20
"B15040018-002",2
"B15040115-001",22
"B15040118-001",23
"B15040121-001",22
"B15040122-001",22
"B15040123-001",24
"B15040127-001",22
"B15040131-001",22
"B15040136-001",22
"B15040139-001",22
"B15040142-001",22
"B15040325-001",20
"B15040325-002",2
"B15040401-001",8
"B15040403-001",8
"B15040407-001",22
"B15040459-001",1
"B15040546-001",25
"B15040612-001",30
"B15040700-001",22
"B15041008-001",20
"B15041011-001",3
"B15041021-001",8
"B15041156-001",8
"B15041157-001",15
"B15041161-001",3
"B15041216-001",22
"B15041264-001",22
"B15041372-001",2
"B15041372-002",20
"B15041513-001",22
"B15041537-001",8
"B15041539-001",30
