"TrackNum2_primary","n"
"0810775",5
"1000073",9
"1000154",7
"1000165",23
"1000170",22
"1000193",7
"1000200",7
"1000297",32
"1000410",22
"1000413",3
"1000414",3
"1000487",23
"1000496",22
"1000619",27
"1000672",9
"1001067",22
"1100035",24
"1100044",23
"1100387",8
"1100709",22
"1100725",24
"1100727",23
"1100741",20
"1100744",9
"1100745",20
"1100748",23
"1100839",27
"1100840",23
"1100848",13
"1100854",24
"1100864",8
"1100867",25
"1100880",27
"1100932",8
"1101232",23
"1101396",22
"1101454",3
"1101456",3
"1101478",23
"1101542",23
"1101582",8
"1101799",3
"1101830",22
"1200065",28
"1200151",8
"1200178",21
"1200419",3
"1200425",3
"1200427",9
"1200433",28
"1200451",22
"1200455",22
"1200463",22
"1200467",22
"1200477",23
"1200479",24
"1200605",20
"1200609",28
"1200625",24
"1200632",8
"1200672",9
"1200732",9
"1200867",9
"1200971",22
"1201062",24
"1201117",27
"1201192",20
"1201220",6
"1201311",28
"1201343",22
"1201488",23
"120429",24
"1300054",8
"1300058",22
"1300105",22
"1300127",23
"1300138",37
"1300174",23
"1300187",22
"1300245",25
"1300252",9
"1300260",22
"1300266",23
"1300268",28
"1300276",5
"1300280",9
"1300284",24
"1300297",10
"1300318",8
"1300342",24
"1300358",24
"1300365",22
"1300368",22
"1300374",23
"1300393",22
"1300412",25
"1300424",24
"1300551",22
"1300627",13
"1300648",23
"1300651",22
"1300667",1
"1300731",22
"1300744",22
"1300797",10
"1300917",8
"1300925",22
"1300933",22
"1300934",22
"1300937",22
"1300942",22
"1300964",32
"1300965",28
"1300971",23
"1300975",22
"1301000",8
"1301385",8
"1301394",25
"1301397",24
"1301407",8
"1301430",22
"1301442",3
"1301458",3
"1301459",8
"1301487",8
"1301488",8
"1301489",8
"1301490",7
"1301491",6
"1301499",27
"1301575",22
"1301611",22
"1301613",23
"1301634",9
"1301642",14
"1301644",24
"1301646",22
"1301657",22
"1301676",3
"1301703",8
"1301705",3
"1301706",25
"1301708",8
"1301709",8
"1301713",8
"1301737",3
"1301745",22
"1301746",7
"1301751",4
"1301763",22
"1301770",23
"1301787",23
"1301800",3
"1301822",9
"1301828",8
"1400000",26
"1400001",22
"1400008",2
"1400012",4
"1400016",22
"1400017",8
"1400019",22
"1400023",8
"1400024",25
"1400025",22
"1400026",7
"1400030",9
"1400037",22
"1400039",23
"1400043",21
"1400054",9
"1400061",22
"1400063",20
"1400064",23
"1400069",23
"1400074",27
"1400076",8
"1400096",8
"1400100",22
"1400103",22
"1400104",23
"1400116",8
"1400125",10
"1400139",22
"1400146",22
"1400155",3
"1400158",22
"1400159",8
"1400164",22
"1400165",22
"1400167",22
"1400179",22
"1400184",3
"1400199",22
"1400204",22
"1400207",22
"1400211",27
"1400229",28
"1400233",23
"1400243",31
"1400245",8
"1400250",3
"1400252",22
"1400253",3
"1400260",23
"1400261",23
"1400262",3
"1400264",22
"1400267",22
"1400272",3
"1400276",3
"1400285",22
"1400293",9
"1400294",23
"1400297",8
"1400299",8
"1400300",23
"1400301",27
"1400304",8
"1400309",22
"1400319",22
"1400327",8
"1400328",22
"1400331",4
"1400334",23
"1400335",28
"1400336",10
"1400349",8
"1400350",22
"1400352",7
"1400359",28
"1400368",8
"1400379",34
"1400381",27
"1400421",21
"1400432",6
"1400438",8
"1400440",22
"1400442",22
"1400466",22
"1400470",8
"1400473",21
"1400477",8
"1400482",8
"1400487",28
"1400507",22
"1400511",27
"1400515",8
"1400523",8
"1400527",23
"1400533",1
"1400537",28
"1400544",4
"1400548",8
"1400549",8
"1400562",7
"1400565",27
"1400568",27
"1400569",8
"1400570",8
"1400571",22
"1400573",22
"1400576",6
"1400593",27
"1400601",28
"1400602",9
"1400604",23
"1400605",22
"1400652",8
"1400689",28
"1400692",24
"1400693",9
"1400700",19
"1400708",5
"1400712",21
"1400713",11
"1400714",22
"1400717",22
"1400721",22
"1400724",6
"1400725",24
"1400726",22
"1400732",1
"1400736",27
"1400737",13
"1400740",21
"1400742",23
"1400745",22
"1400746",22
"1400748",28
"1400749",24
"1400750",22
"1400753",32
"1400754",27
"1400760",24
"1400761",2
"1400762",27
"1400763",8
"1400764",27
"1400766",18
"1400767",4
"1400768",23
"1400770",10
"1400771",8
"1400773",9
"1400775",3
"1400779",22
"1400781",9
"1400783",22
"1400785",22
"1400786",8
"1400787",27
"1400789",9
"1400790",23
"1400794",20
"1400796",22
"1400798",22
"1400799",8
"1400800",3
"1400801",27
"1400802",30
"1400804",3
"1400807",22
"1400808",22
"1400809",22
"1400811",20
"1400812",24
"1400814",22
"1400817",36
"1400818",22
"1400823",22
"1400824",23
"1400825",9
"1400826",22
"1400827",27
"1400828",22
"1400830",22
"1400834",22
"1400835",28
"1400839",8
"1400841",28
"1400843",28
"1400844",32
"1400845",22
"1400851",7
"1400853",5
"1400854",22
"1400856",24
"1400857",22
"1400858",9
"1400859",22
"1400860",20
"1400861",7
"1400864",17
"1400865",7
"1400867",27
"1400868",8
"1400871",8
"1400872",18
"1400876",6
"1400877",22
"1400879",27
"1400880",22
"1400881",28
"1400882",22
"1400883",22
"1400885",23
"1400887",22
"1400888",20
"1400890",22
"1400892",22
"1400893",22
"1400895",23
"1400896",3
"1400897",20
"1400899",8
"1400902",8
"1400903",22
"1400904",20
"1400906",3
"1400907",27
"1400908",22
"1400910",23
"1400912",8
"1400921",3
"1400923",3
"1400933",22
"1400934",22
"1400938",23
"1400942",22
"1400948",27
"1400960",29
"1400962",27
"1400965",21
"1400969",13
"1400970",5
"1400973",8
"1400974",23
"1400979",8
"1400980",9
"1400981",27
"1400983",8
"1400986",9
"1400988",23
"1400989",22
"1400990",27
"1400991",28
"1400998",22
"1401000",27
"1500000",9
"1500002",15
"1500005",5
"1500006",22
"1500007",22
"1500009",23
"1500013",4
"1500014",2
"1500015",9
"1500019",3
"1500020",23
"1500022",24
"1500027",22
"1500032",3
"1500034",23
"1500037",3
"1500038",8
"1500039",22
"1500040",9
"1500041",8
"1500042",22
"1500044",28
"1500045",22
"1500047",29
"1500049",13
"1500050",3
"1500051",6
"1500053",8
"1500056",8
"1500059",22
"1500063",4
"1500066",1
"1500067",22
"1500071",22
"1500073",22
"1500075",8
"1500078",22
"1500080",3
"1500082",25
"1500083",12
"1500088",3
"1500090",9
"1500093",3
"1500094",6
"1500095",22
"1500096",30
"1500099",8
"1500104",4
"1500107",8
"1500108",27
"1500115",35
"1500116",23
"1500119",22
"1500125",22
"1500127",5
"1500130",6
"1500131",22
"1500132",3
"1500134",6
"1500135",7
"1500138",25
"1500142",8
"1500144",36
"1500146",8
"1500147",19
"1500148",7
"1500150",7
"1500152",22
"1500155",37
"1500159",20
"1500163",22
"1500164",22
"1500167",8
"1500169",6
"1500170",3
"1500173",8
"1500174",22
"1500176",23
"1500177",22
"1500181",23
"1500182",22
"1500183",20
"1500184",22
"1500189",24
"1500192",27
"1500193",23
"1500195",22
"1500197",23
"1500198",22
"1500200",28
"1500202",22
"1500204",8
"1500205",11
"1500206",3
"1500209",8
"1500210",29
"1500212",4
"1500213",14
"1500217",8
"1500218",24
"1500220",22
"1500223",21
"1500227",8
"1500233",6
"1500234",8
"1500236",20
"1500237",7
"1500239",8
"1500240",8
"1500243",8
"1500245",28
"1500253",8
"1500258",3
"1500260",8
"1500266",5
"1500268",8
"1500269",3
"1500273",27
"1500275",23
"1500277",8
"1500282",8
"1500284",8
"1500286",34
"1500287",9
"1500288",6
"1500291",6
"1500292",23
"1500297",8
"1500298",27
"1500299",30
"1500300",9
"1500301",3
"1500302",27
"1500304",5
"1500306",15
"1500310",3
"1500313",8
"1500314",23
"1500317",3
"1500318",13
"1500320",23
"1500321",13
"1500323",6
"1500324",8
"1500326",23
"1500327",8
"1500328",8
"1500329",21
"1500330",24
"1500331",3
"1500335",23
"1500336",22
"1500337",28
"1500339",22
"1500340",3
"1500343",23
"1500345",23
"1500347",8
"1500348",3
"1500349",3
"1500350",3
"1500352",22
"1500353",8
"1500355",3
"1500356",22
"1500359",22
"1500360",3
"1500361",4
"1500363",9
"1500364",8
"1500365",3
"1500366",22
"1500369",29
"1500371",3
"1500372",3
"1500373",7
"1500374",1
"1500376",22
"1500379",22
"1500380",23
"1500381",22
"1500382",22
"1500383",22
"1500385",8
"1500386",22
"1500388",22
"1500389",16
"1500390",29
"1500392",22
"1500393",23
"1500394",22
"1500397",8
"1500398",10
"1500399",9
"1500400",22
"1500401",24
"1500403",8
"1500405",8
"1500406",19
"1500408",8
"1500409",3
"1500410",6
"1500411",3
"1500416",19
"1500418",22
"1500421",24
"1500423",3
"1500424",3
"1500425",8
"1500428",6
"1500429",22
"1500433",23
"1500436",8
"1500440",3
"1500441",22
"1500444",22
"1500445",22
"1500446",28
"1500448",6
"1500449",6
"1500450",8
"1500451",25
"1500452",22
"1500453",22
"1500454",2
"1500459",8
"1500464",3
"1500467",22
"1500468",8
"1500473",19
"1500475",1
"1500477",3
"1500478",8
"1500482",8
"1500483",23
"1500486",3
"1500487",15
"1500489",3
"1500490",9
"1500494",8
"1500497",25
"1500500",8
"1500501",8
"1500502",21
"1500505",27
"1500515",3
"1500517",3
"1500518",23
"1500519",29
"1500522",3
"1500523",19
"1500525",17
"1500528",25
"1500532",8
"1500533",34
"1500536",8
"1500543",22
"1500544",27
"1500546",22
"1500548",22
"1500549",22
"1500550",21
"1500553",14
"1500554",22
"1500555",23
"1500563",23
"1500565",22
"1500570",22
"1500571",2
"1500574",7
"1500575",23
"1500576",22
"1500579",25
"1500582",22
"1500584",22
"1500585",28
"1500586",28
"1500587",22
"1500588",22
"1500589",23
"1500591",23
"1500592",22
"1500595",23
"1500596",23
"1500597",29
"1500598",28
"1500599",27
"1500600",16
"1500601",7
"1500604",22
"1500605",23
"1500606",22
"1500609",23
"1500610",28
"1500612",22
"1500613",7
"1500616",22
"1500619",29
"1500620",10
"1500621",22
"1500622",22
"1500623",23
"1500625",23
"1500627",22
"1500629",23
"1500630",22
"1500631",24
"1500633",20
"1500634",22
"1500639",22
"1500643",22
"1500647",22
"1500651",22
"1500653",22
"1500655",22
"1500656",25
"1500657",22
"1500658",24
"1500661",23
"1500662",24
"1500664",28
"1500665",22
"1500667",3
"1500668",23
"1500669",23
"1500670",22
"1500672",27
"1500674",22
"1500678",22
"1500679",27
"1500680",23
"1500684",22
"1500685",23
"1500687",34
"1500688",25
"1500689",22
"1500691",7
"1500692",22
"1500694",3
"1500696",22
"1500697",27
"1500698",9
"1500700",28
"1500701",22
"1500703",22
"1500704",28
"1500706",22
"1500708",8
"1500710",22
"1500713",22
"1500714",22
"1500715",23
"1500716",22
"1500720",22
"1500724",21
"1500729",9
"1500733",5
"1500736",22
