"TrackNum3_WellCode","n"
"0810775",1
"1000073",1
"1000154",1
"1000165",1
"1000170",1
"1000193",1
"1000200",1
"1000297",1
"1000410",1
"1000413",1
"1000414",1
"1000487",1
"1000496",1
"1000619",1
"1000672",1
"1001067",1
"1100035",1
"1100044",1
"1100387",1
"1100709",1
"1100725",1
"1100727",1
"1100741",1
"1100744",1
"1100745",1
"1100748",1
"1100839",1
"1100840",1
"1100848",1
"1100854",1
"1100864",1
"1100867",1
"1100880",1
"1100932",1
"1101232",1
"1101396",1
"1101454",1
"1101456",1
"1101478",1
"1101542",1
"1101582",1
"1101799",1
"1101830",1
"1200065",1
"1200151",1
"1200178",1
"1200419",1
"1200425",1
"1200427",1
"1200433",1
"1200451",1
"1200455",1
"1200463",1
"1200467",1
"1200477",1
"1200479",1
"1200605",1
"1200609",1
"1200625",1
"1200632",1
"1200672",1
"1200732",1
"1200867",1
"1200971",1
"1201062",1
"1201117",1
"1201192",1
"1201220",1
"1201311",1
"1201343",1
"1201488",1
"120429",1
"1300054",1
"1300058",1
"1300105",1
"1300127",1
"1300138",1
"1300174",1
"1300187",1
"1300245",1
"1300252",1
"1300260",1
"1300266",1
"1300268",1
"1300276",1
"1300280",1
"1300284",1
"1300297",1
"1300318",1
"1300342",1
"1300358",1
"1300365",1
"1300368",1
"1300374",1
"1300393",1
"1300412",1
"1300424",1
"1300551",1
"1300627",1
"1300648",1
"1300651",1
"1300667",1
"1300731",1
"1300744",1
"1300797",1
"1300917",1
"1300925",1
"1300933",1
"1300934",1
"1300937",1
"1300942",1
"1300964",1
"1300965",1
"1300971",1
"1300975",1
"1301000",1
"1301385",1
"1301394",1
"1301397",1
"1301407",1
"1301430",1
"1301442",1
"1301458",1
"1301459",1
"1301487",1
"1301488",1
"1301489",1
"1301490",1
"1301491",1
"1301499",1
"1301575",1
"1301611",1
"1301613",1
"1301634",1
"1301642",1
"1301644",1
"1301646",1
"1301657",1
"1301676",1
"1301703",1
"1301705",1
"1301706",1
"1301708",1
"1301709",1
"1301713",1
"1301737",1
"1301745",1
"1301746",1
"1301751",1
"1301763",1
"1301770",1
"1301787",1
"1301800",1
"1301822",1
"1301828",1
"1400000",1
"1400001",1
"1400008",1
"1400012",1
"1400016",1
"1400017",1
"1400019",1
"1400023",1
"1400024",1
"1400025",1
"1400026",1
"1400030",1
"1400037",1
"1400039",1
"1400043",1
"1400054",1
"1400061",1
"1400063",1
"1400064",1
"1400069",1
"1400074",1
"1400076",1
"1400096",1
"1400100",1
"1400103",1
"1400104",1
"1400116",1
"1400125",1
"1400139",1
"1400146",1
"1400155",1
"1400158",1
"1400159",1
"1400164",1
"1400165",1
"1400167",1
"1400179",1
"1400184",1
"1400199",1
"1400204",1
"1400207",1
"1400211",1
"1400229",1
"1400233",1
"1400243",1
"1400245",1
"1400250",1
"1400252",1
"1400253",1
"1400260",1
"1400261",1
"1400262",1
"1400264",1
"1400267",1
"1400272",1
"1400276",1
"1400285",1
"1400293",1
"1400294",1
"1400297",1
"1400299",1
"1400300",1
"1400301",1
"1400304",1
"1400309",1
"1400319",1
"1400327",1
"1400328",1
"1400331",1
"1400334",1
"1400335",1
"1400336",1
"1400349",1
"1400350",1
"1400352",1
"1400359",1
"1400368",1
"1400379",1
"1400381",1
"1400421",1
"1400432",1
"1400438",1
"1400440",1
"1400442",1
"1400466",1
"1400470",1
"1400473",1
"1400477",1
"1400482",1
"1400487",1
"1400507",1
"1400511",1
"1400515",1
"1400523",1
"1400527",1
"1400533",1
"1400537",1
"1400544",1
"1400548",1
"1400549",1
"1400562",1
"1400565",1
"1400568",1
"1400569",1
"1400570",1
"1400571",1
"1400573",1
"1400576",1
"1400593",1
"1400601",1
"1400602",1
"1400604",1
"1400605",1
"1400652",1
"1400689",1
"1400692",1
"1400693",1
"1400700",1
"1400708",1
"1400712",1
"1400713",1
"1400714",1
"1400717",1
"1400721",1
"1400724",1
"1400725",1
"1400726",1
"1400732",1
"1400736",1
"1400737",1
"1400740",1
"1400742",1
"1400745",1
"1400746",1
"1400748",1
"1400749",1
"1400750",1
"1400753",1
"1400754",1
"1400760",1
"1400761",1
"1400762",1
"1400763",1
"1400764",1
"1400766",1
"1400767",1
"1400768",1
"1400770",1
"1400771",1
"1400773",1
"1400775",1
"1400779",1
"1400781",1
"1400783",1
"1400785",1
"1400786",1
"1400787",1
"1400789",1
"1400790",1
"1400794",1
"1400796",1
"1400798",1
"1400799",1
"1400800",1
"1400801",1
"1400802",1
"1400804",1
"1400807",1
"1400808",1
"1400809",1
"1400811",1
"1400812",1
"1400814",1
"1400817",1
"1400818",1
"1400823",1
"1400824",1
"1400825",1
"1400826",1
"1400827",1
"1400828",1
"1400830",1
"1400834",1
"1400835",1
"1400839",1
"1400841",1
"1400843",1
"1400844",1
"1400845",1
"1400851",1
"1400853",1
"1400854",1
"1400856",1
"1400857",1
"1400858",1
"1400859",1
"1400860",1
"1400861",1
"1400864",1
"1400865",1
"1400867",1
"1400868",1
"1400871",1
"1400872",1
"1400876",1
"1400877",1
"1400879",1
"1400880",1
"1400881",1
"1400882",1
"1400883",1
"1400885",1
"1400887",1
"1400888",1
"1400890",1
"1400892",1
"1400893",1
"1400895",1
"1400896",1
"1400897",1
"1400899",1
"1400902",1
"1400903",1
"1400904",1
"1400906",1
"1400907",1
"1400908",1
"1400910",1
"1400912",1
"1400921",1
"1400923",1
"1400933",1
"1400934",1
"1400938",1
"1400942",1
"1400948",1
"1400960",1
"1400962",1
"1400965",1
"1400969",1
"1400970",1
"1400973",1
"1400974",1
"1400979",1
"1400980",1
"1400981",1
"1400983",1
"1400986",1
"1400988",1
"1400989",1
"1400990",1
"1400991",1
"1400998",1
"1401000",1
"1500000",1
"1500002",1
"1500005",1
"1500006",1
"1500007",1
"1500009",1
"1500013",1
"1500014",1
"1500015",1
"1500019",1
"1500020",1
"1500022",1
"1500027",1
"1500032",1
"1500034",1
"1500037",1
"1500038",1
"1500039",1
"1500040",1
"1500041",1
"1500042",1
"1500044",1
"1500045",1
"1500047",1
"1500049",1
"1500050",1
"1500051",1
"1500053",1
"1500056",1
"1500059",1
"1500063",1
"1500066",1
"1500067",1
"1500071",1
"1500073",1
"1500075",1
"1500078",1
"1500080",1
"1500082",1
"1500083",1
"1500088",1
"1500090",1
"1500093",1
"1500094",1
"1500095",1
"1500096",1
"1500099",1
"1500104",1
"1500107",1
"1500108",1
"1500115",1
"1500116",1
"1500119",1
"1500125",1
"1500127",1
"1500130",1
"1500131",1
"1500132",1
"1500134",1
"1500135",1
"1500138",1
"1500142",1
"1500144",1
"1500146",1
"1500147",1
"1500148",1
"1500150",1
"1500152",1
"1500155",1
"1500159",1
"1500163",1
"1500164",1
"1500167",1
"1500169",1
"1500170",1
"1500173",1
"1500174",1
"1500176",1
"1500177",1
"1500181",1
"1500182",1
"1500183",1
"1500184",1
"1500189",1
"1500192",1
"1500193",1
"1500195",1
"1500197",1
"1500198",1
"1500200",1
"1500202",1
"1500204",1
"1500205",1
"1500206",1
"1500209",1
"1500210",1
"1500212",1
"1500213",1
"1500217",1
"1500218",1
"1500220",1
"1500223",1
"1500227",1
"1500233",1
"1500234",1
"1500236",1
"1500237",1
"1500239",1
"1500240",1
"1500243",1
"1500245",1
"1500253",1
"1500258",1
"1500260",1
"1500266",1
"1500268",1
"1500269",1
"1500273",1
"1500275",1
"1500277",1
"1500282",1
"1500284",1
"1500286",1
"1500287",1
"1500288",1
"1500291",1
"1500292",1
"1500297",1
"1500298",1
"1500299",1
"1500300",1
"1500301",1
"1500302",1
"1500304",1
"1500306",1
"1500310",1
"1500313",1
"1500314",1
"1500317",1
"1500318",1
"1500320",1
"1500321",1
"1500323",1
"1500324",1
"1500326",1
"1500327",1
"1500328",1
"1500329",1
"1500330",1
"1500331",1
"1500335",1
"1500336",1
"1500337",1
"1500339",1
"1500340",1
"1500343",1
"1500345",1
"1500347",1
"1500348",1
"1500349",1
"1500350",1
"1500352",1
"1500353",1
"1500355",1
"1500356",1
"1500359",1
"1500360",1
"1500361",1
"1500363",1
"1500364",1
"1500365",1
"1500366",1
"1500369",1
"1500371",1
"1500372",1
"1500373",1
"1500374",1
"1500376",1
"1500379",1
"1500380",1
"1500381",1
"1500382",1
"1500383",1
"1500385",1
"1500386",1
"1500388",1
"1500389",1
"1500390",1
"1500392",1
"1500393",1
"1500394",1
"1500397",1
"1500398",1
"1500399",1
"1500400",1
"1500401",1
"1500403",1
"1500405",1
"1500406",1
"1500408",1
"1500409",1
"1500410",1
"1500411",1
"1500416",1
"1500418",1
"1500421",1
"1500423",1
"1500424",1
"1500425",1
"1500428",1
"1500429",1
"1500433",1
"1500436",1
"1500440",1
"1500441",1
"1500444",1
"1500445",1
"1500446",1
"1500448",1
"1500449",1
"1500450",1
"1500451",1
"1500452",1
"1500453",1
"1500454",1
"1500459",1
"1500464",1
"1500467",1
"1500468",1
"1500473",1
"1500475",1
"1500477",1
"1500478",1
"1500482",1
"1500483",1
"1500486",1
"1500487",1
"1500489",1
"1500490",1
"1500494",1
"1500497",1
"1500500",1
"1500501",1
"1500502",1
"1500505",1
"1500515",1
"1500517",1
"1500518",1
"1500519",1
"1500522",1
"1500523",1
"1500525",1
"1500528",1
"1500532",1
"1500533",1
"1500536",1
"1500543",1
"1500544",1
"1500546",1
"1500548",1
"1500549",1
