"","out_tracks","out_vals","out_descriptions","Analyte"
"1",1900403,0.07,"","Aluminum"
"2",2201220,2.79,"Pond 1","Aluminum"
"3",2201529,0.03,"Well","Aluminum"
"4",2201962,4.35,"New well sample testing","Aluminum"
"5",2201971,0.18,"Water Test","Aluminum"
"6",2202034,0.16,"","Aluminum"
"7",2202081,0.04,"Sample from kitchen sink","Aluminum"
"8",2300250,0.08,"Well water from house faucet","Aluminum"
"9",2300356,0.15,"test new well Water Quality","Aluminum"
"10",2300394,0.21,"First well test needed now","Aluminum"
"11",2300455,0.25,"","Aluminum"
"12",2300472,0.07,"new roush well water analysis","Aluminum"
"13",2300530,0.08,"","Aluminum"
"14",2300743,0.04,"HOA New Well","Aluminum"
"15",2300801,1.5,"","Aluminum"
"16",2300994,0.05,"","Aluminum"
"17",2301142,0.1,"Well water at 71 Mule Deer","Aluminum"
"18",2301168,0.07,"","Aluminum"
"19",2301279,0.17,"","Aluminum"
"20",2301292,0.05,"","Aluminum"
"21",2301373,0.04,"Grandpa Joe's Reservoir Well","Aluminum"
"22",2301375,0.52,"East well on property","Aluminum"
"23",2301766,0.82,"Full Sample Collected October 2024","Aluminum"
"24",2301811,0.05,"Domestic and Livestock use North","Aluminum"
"25",2301821,0.05,"","Aluminum"
"26",2301944,0.03,"residential well","Aluminum"
