"","out_tracks","out_vals","out_descriptions","Analyte"
"1",1200939,226,"Four bottles of tap water","Chloride"
"2",1900403,292,"Henry Well Sample","Chloride"
"3",2200749,96,"Drinking water test for our man camp","Chloride"
"4",2200769,96,"Out of the hydrant","Chloride"
"5",2201416,92,"1 set sample from American Prairie","Chloride"
"6",2201575,136,"Making sure our well water is safe to drink","Chloride"
"7",2201987,52,"private for domestic and garden","Chloride"
"8",2202059,150,"Household + garden water use","Chloride"
"9",2202153,58,"Real Estate Transaction","Chloride"
"10",2300057,63,"Both bottles from the uit","Chloride"
"11",2300065,44,"","Chloride"
"12",2300201,43,"Full Domestic Analysis/Hill","Chloride"
"13",2300233,36,"","Chloride"
"14",2300258,702,"After treatment system","Chloride"
"15",2300274,54,"North Spigot outside house water","Chloride"
"16",2300507,35,"Well Water Domestic Untreated","Chloride"
"17",2300532,44,"Grandpa Joe's Reservoir Well","Chloride"
"18",2300558,46,"Hydrant Next to Well house","Chloride"
"19",2300746,67,"sandpoint well water sample","Chloride"
"20",2300793,51,"Tap water for Greenhouse water sample for flowers","Chloride"
"21",2300834,39,"Domestic Water Sample From Tap","Chloride"
"22",2300877,62,"Well Derived House Hold Water","Chloride"
"23",2300878,33,"Full Domestic Analysis Water Sample","Chloride"
"24",2300927,83,"Home Faucet","Chloride"
"25",2300945,51,"20 Sharptail Pl Three Forks","Chloride"
"26",2300997,51,"if O.K. to drink","Chloride"
"27",2301077,64,"outdoor spigot on house","Chloride"
"28",2301096,942,"","Chloride"
"29",2301098,38,"North Well Water","Chloride"
"30",2301164,83,"","Chloride"
"31",2301204,177,"Domestic and Livestock use North","Chloride"
"32",2301262,46,"","Chloride"
"33",2301373,310,"Analysis (FULL) of domestic well","Chloride"
"34",2301445,36,"2nd Sample","Chloride"
"35",2301518,176,"First sample new system","Chloride"
"36",2301554,50,"In Home Hot Water","Chloride"
"37",2301811,35,"In town-home sample","Chloride"
