"","out_tracks","out_vals","out_descriptions","Analyte"
"1",2000408,-2,"Well sample utility sink garage","Corrosivity (Langelier Index)"
"2",2200003,-2,"well water - May 2024 sample","Corrosivity (Langelier Index)"
"3",2200340,-2,"Filtered water 307 Montana Way","Corrosivity (Langelier Index)"
"4",2201756,-4,"Kitchen Tap","Corrosivity (Langelier Index)"
"5",2201871,-2,"Want to know","Corrosivity (Langelier Index)"
"6",2201887,-4,"water after it goes through a house filter","Corrosivity (Langelier Index)"
"7",2201962,-2,"home water supply downstairs bath","Corrosivity (Langelier Index)"
"8",2201971,-2,"","Corrosivity (Langelier Index)"
"9",2300102,-2,"","Corrosivity (Langelier Index)"
"10",2300112,-3,"","Corrosivity (Langelier Index)"
"11",2300369,-3,"House + farm water","Corrosivity (Langelier Index)"
"12",2300377,-2,"Drawn From Kitchen Faucet","Corrosivity (Langelier Index)"
"13",2300455,-3,"Kitchen sink water (from well) with softener (maybe)","Corrosivity (Langelier Index)"
"14",2300553,-7,"well test 125 McGee Dr","Corrosivity (Langelier Index)"
"15",2300570,-2,"","Corrosivity (Langelier Index)"
"16",2300580,-5,"","Corrosivity (Langelier Index)"
"17",2300752,-4,"faucet house","Corrosivity (Langelier Index)"
"18",2300861,-6,"","Corrosivity (Langelier Index)"
"19",2300869,-2,"Cold H20 from Kitchen Sink","Corrosivity (Langelier Index)"
"20",2300893,-3,"","Corrosivity (Langelier Index)"
"21",2300916,-4,"Meridian Domestic Well Water Tap","Corrosivity (Langelier Index)"
"22",2300948,-2,"","Corrosivity (Langelier Index)"
"23",2301018,-2,"House Water","Corrosivity (Langelier Index)"
"24",2301070,-2,"Rich and Mare well test","Corrosivity (Langelier Index)"
"25",2301077,-2,"1 Year Old Well","Corrosivity (Langelier Index)"
"26",2301118,-2,"laundry faucet water per instructions","Corrosivity (Langelier Index)"
"27",2301141,-2,"Well water with R.O. system","Corrosivity (Langelier Index)"
"28",2301178,-2,"Well water from indoor faucet","Corrosivity (Langelier Index)"
"29",2301183,-2,"Water Test","Corrosivity (Langelier Index)"
"30",2301194,-2,"","Corrosivity (Langelier Index)"
"31",2301297,-4,"East well on property","Corrosivity (Langelier Index)"
"32",2301375,-3,"Domestic Water Sample From Tap","Corrosivity (Langelier Index)"
"33",2301456,-3,"","Corrosivity (Langelier Index)"
"34",2301458,-3,"","Corrosivity (Langelier Index)"
"35",2301603,-4,"Water for house from well","Corrosivity (Langelier Index)"
"36",2301643,-2,"Testing with water softener","Corrosivity (Langelier Index)"
"37",2301647,-2,"","Corrosivity (Langelier Index)"
"38",2301683,-3,"Testing for contamination","Corrosivity (Langelier Index)"
"39",2301703,-4,"Full Sample Collected October 2024","Corrosivity (Langelier Index)"
"40",2301766,-3,"","Corrosivity (Langelier Index)"
"41",2301821,-2,"House water sample July 2024","Corrosivity (Langelier Index)"
"42",2301823,-2,"New well sample testing","Corrosivity (Langelier Index)"
