"","out_tracks","out_vals","out_descriptions","Analyte"
"1",1900403,81,"","Potassium"
"2",2200749,9,"2nd Sample","Potassium"
"3",2200769,9,"First sample new system","Potassium"
"4",2201416,14,"20 Sharptail Pl Three Forks","Potassium"
"5",2201913,22,"Full domestic sample test","Potassium"
"6",2202059,11,"Drinking water test for our man camp","Potassium"
"7",2300057,9,"sandpoint well water sample","Potassium"
"8",2300065,9,"After treatment system","Potassium"
"9",2300498,12,"New well water","Potassium"
"10",2300507,18,"","Potassium"
"11",2300980,12,"Water Quality","Potassium"
"12",2301194,192,"laundry faucet water per instructions","Potassium"
"13",2301373,50,"Grandpa Joe's Reservoir Well","Potassium"
"14",2301514,19,"Shallow well culvert","Potassium"
"15",2301620,13,"new construction, new well","Potassium"
