"","out_tracks","out_vals","out_descriptions","Analyte"
"1",1400275,42.2,"","Sodium Adsorption Ratio (SAR)"
"2",2000408,94.3,"Filtered water 307 Montana Way","Sodium Adsorption Ratio (SAR)"
"3",2200003,136,"","Sodium Adsorption Ratio (SAR)"
"4",2200340,90.6,"Kitchen Tap","Sodium Adsorption Ratio (SAR)"
"5",2200525,105,"Henry Well Sample","Sodium Adsorption Ratio (SAR)"
"6",2201293,24.5,"Well 1","Sodium Adsorption Ratio (SAR)"
"7",2201756,1530,"North 0W1","Sodium Adsorption Ratio (SAR)"
"8",2201978,61.5,"","Sodium Adsorption Ratio (SAR)"
"9",2202034,44.9,"South 0W2","Sodium Adsorption Ratio (SAR)"
"10",2202073,114,"water after it goes through a house filter","Sodium Adsorption Ratio (SAR)"
"11",2300052,63.4,"","Sodium Adsorption Ratio (SAR)"
"12",2300093,66.7,"","Sodium Adsorption Ratio (SAR)"
"13",2300112,77.7,"","Sodium Adsorption Ratio (SAR)"
"14",2300199,63.2,"","Sodium Adsorption Ratio (SAR)"
"15",2300201,73.2,"Water straight from our well, routed thru house plumbing","Sodium Adsorption Ratio (SAR)"
"16",2300205,56.7,"new well - ? Irrigation quality","Sodium Adsorption Ratio (SAR)"
"17",2300209,64.8,"House + farm water","Sodium Adsorption Ratio (SAR)"
"18",2300223,71.3,"Big Sky Lane Well","Sodium Adsorption Ratio (SAR)"
"19",2300250,83.6,"well water","Sodium Adsorption Ratio (SAR)"
"20",2300258,41.5,"Drawn From Kitchen Faucet","Sodium Adsorption Ratio (SAR)"
"21",2300310,59,"Water from well","Sodium Adsorption Ratio (SAR)"
"22",2300328,49.1,"Kitchen sink water (from well) with softener (maybe)","Sodium Adsorption Ratio (SAR)"
"23",2300369,71.1,"well test 125 McGee Dr","Sodium Adsorption Ratio (SAR)"
"24",2300377,45.1,"","Sodium Adsorption Ratio (SAR)"
"25",2300463,35.2,"Real Estate Transaction","Sodium Adsorption Ratio (SAR)"
"26",2300530,26.5,"Both bottles from the uit","Sodium Adsorption Ratio (SAR)"
"27",2300557,44.2,"","Sodium Adsorption Ratio (SAR)"
"28",2300580,664,"","Sodium Adsorption Ratio (SAR)"
"29",2300604,25.6,"","Sodium Adsorption Ratio (SAR)"
"30",2300647,68.5,"*inside*","Sodium Adsorption Ratio (SAR)"
"31",2300662,165,"House Water","Sodium Adsorption Ratio (SAR)"
"32",2300752,35.8,"","Sodium Adsorption Ratio (SAR)"
"33",2300778,84.4,"","Sodium Adsorption Ratio (SAR)"
"34",2300793,74.1,"water tested for drinking","Sodium Adsorption Ratio (SAR)"
"35",2300794,52,"Cows won't drink it","Sodium Adsorption Ratio (SAR)"
"36",2300801,38.3,"Well water from indoor faucet","Sodium Adsorption Ratio (SAR)"
"37",2300882,36.4,"water well sample Bottle (At Cabin)","Sodium Adsorption Ratio (SAR)"
"38",2300893,58.4,"","Sodium Adsorption Ratio (SAR)"
"39",2300898,44.5,"","Sodium Adsorption Ratio (SAR)"
"40",2300916,374,"outside faucet well water test","Sodium Adsorption Ratio (SAR)"
"41",2300954,62.5,"Grandpa Joe's Reservoir Well","Sodium Adsorption Ratio (SAR)"
"42",2300957,61.3,"Domestic Water Sample From Tap","Sodium Adsorption Ratio (SAR)"
"43",2301009,52.5,"Full Domestic Analysis Water Sample","Sodium Adsorption Ratio (SAR)"
"44",2301022,36.4,"","Sodium Adsorption Ratio (SAR)"
"45",2301049,58.3,"","Sodium Adsorption Ratio (SAR)"
"46",2301067,56.6,"","Sodium Adsorption Ratio (SAR)"
"47",2301070,135,"","Sodium Adsorption Ratio (SAR)"
"48",2301077,71.3,"","Sodium Adsorption Ratio (SAR)"
"49",2301095,64.2,"","Sodium Adsorption Ratio (SAR)"
"50",2301096,50.7,"","Sodium Adsorption Ratio (SAR)"
"51",2301143,34.6,"Biddle School","Sodium Adsorption Ratio (SAR)"
"52",2301178,34.7,"Testing with water softener","Sodium Adsorption Ratio (SAR)"
"53",2301297,218,"","Sodium Adsorption Ratio (SAR)"
"54",2301373,30,"Testing for contamination","Sodium Adsorption Ratio (SAR)"
"55",2301456,99.8,"Well water from house faucet","Sodium Adsorption Ratio (SAR)"
"56",2301458,129,"Troy and Abby Vaira well","Sodium Adsorption Ratio (SAR)"
"57",2301518,70.9,"Water sample from well","Sodium Adsorption Ratio (SAR)"
"58",2301577,37.4,"","Sodium Adsorption Ratio (SAR)"
"59",2301647,109,"","Sodium Adsorption Ratio (SAR)"
"60",2301683,277,"","Sodium Adsorption Ratio (SAR)"
"61",2301703,77.5,"Water Sample for human consumption of domestic well","Sodium Adsorption Ratio (SAR)"
