"","out_tracks","out_vals","out_descriptions","Analyte"
"1",1200939,10100,"","Solids, Total Dissolved - Calculated"
"2",1900403,4190,"","Solids, Total Dissolved - Calculated"
"3",2200749,5140,"Drinking water test for our man camp","Solids, Total Dissolved - Calculated"
"4",2200769,4980,"","Solids, Total Dissolved - Calculated"
"5",2201575,2850,"Out of the hydrant","Solids, Total Dissolved - Calculated"
"6",2202059,2040,"1 set sample from American Prairie","Solids, Total Dissolved - Calculated"
"7",2300052,2310,"Real Estate Transaction","Solids, Total Dissolved - Calculated"
"8",2300199,2500,"","Solids, Total Dissolved - Calculated"
"9",2300258,6050,"water tested for drinking","Solids, Total Dissolved - Calculated"
"10",2300274,2170,"Grandpa Joe's Reservoir Well","Solids, Total Dissolved - Calculated"
"11",2300647,2430,"Tap water for Greenhouse water sample for flowers","Solids, Total Dissolved - Calculated"
"12",2300878,1780,"","Solids, Total Dissolved - Calculated"
"13",2300882,2300,"","Solids, Total Dissolved - Calculated"
"14",2300886,3200,"","Solids, Total Dissolved - Calculated"
"15",2300898,1840,"outdoor spigot on house","Solids, Total Dissolved - Calculated"
"16",2300927,2100,"","Solids, Total Dissolved - Calculated"
"17",2300945,3820,"","Solids, Total Dissolved - Calculated"
"18",2301022,2190,"North Well Water","Solids, Total Dissolved - Calculated"
"19",2301043,1790,"Outdoor Spiget (has a hose that does not come off).","Solids, Total Dissolved - Calculated"
"20",2301067,2280,"","Solids, Total Dissolved - Calculated"
"21",2301095,3310,"South well livestock and domestic","Solids, Total Dissolved - Calculated"
"22",2301262,2190,"Domestic and Livestock use North","Solids, Total Dissolved - Calculated"
"23",2301274,1880,"","Solids, Total Dissolved - Calculated"
"24",2301275,4910,"Troy and Abby Vaira well","Solids, Total Dissolved - Calculated"
"25",2301373,35200,"2nd Sample","Solids, Total Dissolved - Calculated"
"26",2301795,2180,"First sample new system","Solids, Total Dissolved - Calculated"
"27",2301811,2660,"","Solids, Total Dissolved - Calculated"
