"","out_tracks","out_vals","out_descriptions","Analyte"
"1",1701371,0.08,"Water from Kitchen Faucet","Zinc"
"2",1901374,0.13,"","Zinc"
"3",2200528,0.14,"New well analysis","Zinc"
"4",2200743,0.44,"Kitchen sink","Zinc"
"5",2201529,0.11,"Well","Zinc"
"6",2201962,0.34,"New well sample testing","Zinc"
"7",2201963,0.1,"","Zinc"
"8",2201971,16.8,"Water Test","Zinc"
"9",2202081,0.4,"Sample from kitchen sink","Zinc"
"10",2202088,0.37,"Farmhouse water - Tilleman","Zinc"
"11",2202152,0.11,"Hool Family Residential Well 2024","Zinc"
"12",2300057,0.19,"sandpoint well water sample","Zinc"
"13",2300093,0.9,"Water Sample for human consumption of domestic well","Zinc"
"14",2300102,0.18,"Want to know","Zinc"
"15",2300199,0.09,"water tested for drinking","Zinc"
"16",2300333,0.69,"Well test after not testing","Zinc"
"17",2300356,0.25,"test new well Water Quality","Zinc"
"18",2300393,0.18,"home well water sample 2024","Zinc"
"19",2300394,3.13,"First well test needed now","Zinc"
"20",2300439,1.78,"","Zinc"
"21",2300515,0.18,"Residential and livestock","Zinc"
"22",2300560,0.2,"House church hall well sample","Zinc"
"23",2300655,1.97,"post filter sample","Zinc"
"24",2300668,0.09,"Well Water for testing purposes","Zinc"
"25",2300681,0.08,"well water test for silos","Zinc"
"26",2300717,0.2,"for full water analysis domestic","Zinc"
"27",2300815,0.19,"2320 W Babcock Well","Zinc"
"28",2300876,0.09,"House Well Untreated","Zinc"
"29",2300895,0.12,"Well on private land","Zinc"
"30",2300945,1.18,"1 set sample from American Prairie","Zinc"
"31",2300968,0.11,"Oil Well Converted To Water","Zinc"
"32",2300980,0.14,"Water Quality","Zinc"
"33",2301141,0.12,"faucet house","Zinc"
"34",2301142,5.09,"Well water at 71 Mule Deer","Zinc"
"35",2301275,0.1,"Outdoor Spiget (has a hose that does not come off).","Zinc"
"36",2301465,0.12,"Creekside well (active) unfiltered (drinking h2o)","Zinc"
"37",2301514,3.24,"Shallow well culvert","Zinc"
"38",2301542,0.21,"","Zinc"
"39",2301795,0.14,"South well livestock and domestic","Zinc"
"40",2301811,0.3,"Domestic and Livestock use North","Zinc"
"41",2301821,1.45,"","Zinc"
"42",2301827,0.21,"never been tested","Zinc"
"43",2301944,0.33,"residential well","Zinc"
